year,nomination,round,pick,overall_pick,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2014,,1,1,1,79607,LeSean McCoy,RB,PHI,8,The Real McCoy,Nick,,snake,2025-07-01T16:35:23.934171
2014,,1,2,2,925,Jamaal Charles,RB,KC,9,Chuck-E-Brees,Kyle,,snake,2025-07-01T16:35:23.934459
2014,,1,3,3,2507164,Adrian Peterson,RB,MIN,11,Christopher Welken,Jake,,snake,2025-07-01T16:35:23.934674
2014,,1,4,4,234,Matt Forte,RB,CHI,10,Forte's Foreplay,Cole,,snake,2025-07-01T16:35:23.934875
2014,,1,5,5,2540168,Eddie Lacy,RB,GB,6,SweatyandEddiesQuestfortheStag,Alexander,,snake,2025-07-01T16:35:23.935074
2014,,1,6,6,497236,Jimmy Graham,TE,NO,1,InstaGraham,Matt,,snake,2025-07-01T16:35:23.935274
2014,,1,7,7,2495647,Calvin Johnson,WR,DET,3,Stills Harvin Some Woodhead,Cameron,,snake,2025-07-01T16:35:23.935468
2014,,1,8,8,497328,Demaryius Thomas,WR,DEN,5,My Dinner with Andre,Benjy,,snake,2025-07-01T16:35:23.935664
2014,,1,9,9,497278,Dez Bryant,WR,DAL,7,Knowshon's Eleven,Zach,,snake,2025-07-01T16:35:23.935865
2014,,1,10,10,2495663,Marshawn Lynch,RB,SEA,2,Cloudy With A Chance of Montee,Ryan,,snake,2025-07-01T16:35:23.936060
2014,,1,11,11,2495450,A.J. Green,WR,CIN,4,The Watkins Diet,Craig,,snake,2025-07-01T16:35:23.936261
2014,,1,12,12,2495893,Brandon Marshall,WR,CHI,12,Taco's Bell,JACOB,,snake,2025-07-01T16:35:23.936465
2014,,2,13,25,2540175,Le'Veon Bell,RB,PIT,12,Taco's Bell,JACOB,,snake,2025-07-01T16:35:24.709090
2014,,2,14,26,2495454,Julio Jones,WR,ATL,4,The Watkins Diet,Craig,,snake,2025-07-01T16:35:24.709303
2014,,2,15,27,2539341,Montee Ball,RB,DEN,2,Cloudy With A Chance of Montee,Ryan,,snake,2025-07-01T16:35:24.709490
2014,,2,16,28,2540156,Giovani Bernard,RB,CIN,7,Knowshon's Eleven,Zach,,snake,2025-07-01T16:35:24.709675
2014,,2,17,29,1032,Jordy Nelson,WR,GB,5,My Dinner with Andre,Benjy,,snake,2025-07-01T16:35:24.709863
2014,,2,18,30,79555,Arian Foster,RB,HOU,3,Stills Harvin Some Woodhead,Cameron,,snake,2025-07-01T16:35:24.710045
2014,,2,19,31,2495207,DeMarco Murray,RB,DAL,1,InstaGraham,Matt,,snake,2025-07-01T16:35:24.710232
2014,,2,20,32,2506363,Aaron Rodgers,QB,GB,6,SweatyandEddiesQuestfortheStag,Alexander,,snake,2025-07-01T16:35:24.710425
2014,,2,21,33,2508061,Antonio Brown,WR,PIT,10,Forte's Foreplay,Cole,,snake,2025-07-01T16:35:24.710608
2014,,2,22,34,2501863,Peyton Manning,QB,DEN,11,Christopher Welken,Jake,,snake,2025-07-01T16:35:24.710788
2014,,2,23,35,2532899,Doug Martin,RB,TB,9,Chuck-E-Brees,Kyle,,snake,2025-07-01T16:35:24.710973
2014,,2,24,36,2533457,Alfred Morris,RB,WAS,8,The Real McCoy,Nick,,snake,2025-07-01T16:35:24.711163
2014,,3,25,49,2533039,Alshon Jeffery,WR,CHI,8,The Real McCoy,Nick,,snake,2025-07-01T16:35:25.497416
2014,,3,26,50,2504775,Drew Brees,QB,NO,9,Chuck-E-Brees,Kyle,,snake,2025-07-01T16:35:25.497697
2014,,3,27,51,2539217,Andre Ellington,RB,ARI,11,Christopher Welken,Jake,,snake,2025-07-01T16:35:25.497933
2014,,3,28,52,2495448,Randall Cobb,WR,GB,10,Forte's Foreplay,Cole,,snake,2025-07-01T16:35:25.498151
2014,,3,29,53,2540273,Zac Stacy,RB,STL,6,SweatyandEddiesQuestfortheStag,Alexander,,snake,2025-07-01T16:35:25.498367
2014,,3,30,54,2540154,Keenan Allen,WR,LAC,1,InstaGraham,Matt,,snake,2025-07-01T16:35:25.498581
2014,,3,31,55,2506404,Frank Gore,RB,SF,3,Stills Harvin Some Woodhead,Cameron,,snake,2025-07-01T16:35:25.498797
2014,,3,32,56,497176,Toby Gerhart,RB,JAC,5,My Dinner with Andre,Benjy,,snake,2025-07-01T16:35:25.499005
2014,,3,33,57,2506874,Reggie Bush,RB,DET,7,Knowshon's Eleven,Zach,,snake,2025-07-01T16:35:25.499212
2014,,3,34,58,2506106,Larry Fitzgerald,WR,ARI,2,Cloudy With A Chance of Montee,Ryan,,snake,2025-07-01T16:35:25.499422
2014,,3,35,59,497204,C.J. Spiller,RB,BUF,4,The Watkins Diet,Craig,,snake,2025-07-01T16:35:25.499636
2014,,3,36,60,2533033,Robert Griffin III,QB,WAS,12,Taco's Bell,JACOB,,snake,2025-07-01T16:35:25.499850
2014,,4,37,73,941,Ray Rice,,,12,Taco's Bell,JACOB,,snake,2025-07-01T16:35:26.304776
2014,,4,38,74,2495353,Julius Thomas,TE,DEN,4,The Watkins Diet,Craig,,snake,2025-07-01T16:35:26.305034
2014,,4,39,75,2540145,Cordarrelle Patterson,WR,MIN,2,Cloudy With A Chance of Montee,Ryan,,snake,2025-07-01T16:35:26.305255
2014,,4,40,76,497240,Rob Gronkowski,TE,NE,7,Knowshon's Eleven,Zach,,snake,2025-07-01T16:35:26.305476
2014,,4,41,77,71345,Rashad Jennings,RB,NYG,5,My Dinner with Andre,Benjy,,snake,2025-07-01T16:35:26.305689
2014,,4,42,78,80425,Percy Harvin,WR,NYJ,3,Stills Harvin Some Woodhead,Cameron,,snake,2025-07-01T16:35:26.305906
2014,,4,43,79,2533031,Andrew Luck,QB,IND,1,InstaGraham,Matt,,snake,2025-07-01T16:35:26.306121
2014,,4,44,80,2346,Pierre Garcon,WR,WAS,6,SweatyandEddiesQuestfortheStag,Alexander,,snake,2025-07-01T16:35:26.306338
2014,,4,45,81,262,Chris Johnson,RB,NYJ,10,Forte's Foreplay,Cole,,snake,2025-07-01T16:35:26.306551
2014,,4,46,82,2506366,Roddy White,WR,ATL,11,Christopher Welken,Jake,,snake,2025-07-01T16:35:26.306763
2014,,4,47,83,2506400,Vincent Jackson,WR,TB,9,Chuck-E-Brees,Kyle,,snake,2025-07-01T16:35:26.306975
2014,,4,48,84,1581,DeSean Jackson,WR,WAS,8,The Real McCoy,Nick,,snake,2025-07-01T16:35:26.307191
2014,,5,49,97,79860,Matthew Stafford,QB,DET,8,The Real McCoy,Nick,,snake,2025-07-01T16:35:27.155701
2014,,5,50,98,2533032,Trent Richardson,RB,IND,9,Chuck-E-Brees,Kyle,,snake,2025-07-01T16:35:27.155957
2014,,5,51,99,2505790,Wes Welker,WR,DEN,11,Christopher Welken,Jake,,snake,2025-07-01T16:35:27.156189
2014,,5,52,100,2495186,Colin Kaepernick,QB,SF,10,Forte's Foreplay,Cole,,snake,2025-07-01T16:35:27.156407
2014,,5,53,101,71269,Michael Crabtree,WR,SF,6,SweatyandEddiesQuestfortheStag,Alexander,,snake,2025-07-01T16:35:27.156615
2014,,5,54,102,497208,Ben Tate,RB,PIT,1,InstaGraham,Matt,,snake,2025-07-01T16:35:27.156821
2014,,5,55,103,2495826,Vernon Davis,TE,SF,3,Stills Harvin Some Woodhead,Cameron,,snake,2025-07-01T16:35:27.157028
2014,,5,56,104,2505551,Andre Johnson,WR,HOU,5,My Dinner with Andre,Benjy,,snake,2025-07-01T16:35:27.157241
2014,,5,57,105,2532841,Michael Floyd,WR,ARI,7,Knowshon's Eleven,Zach,,snake,2025-07-01T16:35:27.157456
2014,,5,58,106,497188,Ryan Mathews,RB,LAC,2,Cloudy With A Chance of Montee,Ryan,,snake,2025-07-01T16:35:27.157666
2014,,5,59,107,2495473,Shane Vereen,RB,NE,4,The Watkins Diet,Craig,,snake,2025-07-01T16:35:27.157859
2014,,5,60,108,2507855,Victor Cruz,WR,NYG,12,Taco's Bell,JACOB,,snake,2025-07-01T16:35:27.158041
2014,,6,61,121,2495267,Jordan Cameron,TE,CLE,12,Taco's Bell,JACOB,,snake,2025-07-01T16:35:28.023731
2014,,6,62,122,2543682,Bishop Sankey,RB,TEN,4,The Watkins Diet,Craig,,snake,2025-07-01T16:35:28.023956
2014,,6,63,123,497145,Joique Bell,RB,DET,2,Cloudy With A Chance of Montee,Ryan,,snake,2025-07-01T16:35:28.024147
2014,,6,64,124,2532865,T.Y. Hilton,WR,IND,7,Knowshon's Eleven,Zach,,snake,2025-07-01T16:35:28.024409
2014,,6,65,125,2495470,Stevan Ridley,RB,NE,5,My Dinner with Andre,Benjy,,snake,2025-07-01T16:35:28.024599
2014,,6,66,126,497284,Eric Decker,WR,NYJ,3,Stills Harvin Some Woodhead,Cameron,,snake,2025-07-01T16:35:28.024799
2014,,6,67,127,2495459,Torrey Smith,WR,BAL,1,InstaGraham,Matt,,snake,2025-07-01T16:35:28.024991
