year,nomination,round,pick,overall_pick,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2013,,1,1,1,2507164,Adrian Peterson,RB,MIN,12,Jacob's Super Stars,JACOB,,snake,2025-07-01T16:34:49.660602
2013,,1,2,2,79555,Arian Foster,RB,HOU,4,TA-VON-ME,Craig,,snake,2025-07-01T16:34:49.660789
2013,,1,3,3,925,Jamaal Charles,RB,KC,2,Charles in Charge,Ryan,,snake,2025-07-01T16:34:49.661033
2013,,1,4,4,2495663,Marshawn Lynch,RB,SEA,8,Marshall Law,Nick,,snake,2025-07-01T16:34:49.661258
2013,,1,5,5,2532899,Doug Martin,RB,TB,5,For Whom Le'Veon Bell Tolls,Benjy,,snake,2025-07-01T16:34:49.661444
2013,,1,6,6,497204,C.J. Spiller,RB,BUF,6,MONDAY Night MURDERERS,Alexander,,snake,2025-07-01T16:34:49.661627
2013,,1,7,7,79607,LeSean McCoy,RB,PHI,1,Colin The Shots,Matt,,snake,2025-07-01T16:34:49.661805
2013,,1,8,8,941,Ray Rice,RB,BAL,11,The Green Machine,Jake,,snake,2025-07-01T16:34:49.661982
2013,,1,9,9,2533032,Trent Richardson,RB,IND,10,Sproling in It,Andrew,,snake,2025-07-01T16:34:49.662159
2013,,1,10,10,2495831,Maurice Jones-Drew,RB,JAX,9,Newton's Own,Kyle,,snake,2025-07-01T16:34:49.662339
2013,,1,11,11,2533457,Alfred Morris,RB,WAS,3,Vincent's Brownies,Cameron,,snake,2025-07-01T16:34:49.662517
2013,,1,12,12,234,Matt Forte,RB,CHI,7,Bearing Down,Zach,,snake,2025-07-01T16:34:49.662713
2013,,2,13,25,2495647,Calvin Johnson,WR,DET,7,Bearing Down,Zach,,snake,2025-07-01T16:34:50.435719
2013,,2,14,26,497278,Dez Bryant,WR,DAL,3,Vincent's Brownies,Cameron,,snake,2025-07-01T16:34:50.435989
2013,,2,15,27,2495455,Cam Newton,QB,CAR,9,Newton's Own,Kyle,,snake,2025-07-01T16:34:50.436176
2013,,2,16,28,2504775,Drew Brees,QB,NO,10,Sproling in It,Andrew,,snake,2025-07-01T16:34:50.436350
2013,,2,17,29,2495450,A.J. Green,WR,CIN,11,The Green Machine,Jake,,snake,2025-07-01T16:34:50.436521
2013,,2,18,30,2505936,Steven Jackson,RB,ATL,1,Colin The Shots,Matt,,snake,2025-07-01T16:34:50.436765
2013,,2,19,31,262,Chris Johnson,RB,TEN,6,MONDAY Night MURDERERS,Alexander,,snake,2025-07-01T16:34:50.437023
2013,,2,20,32,2495470,Stevan Ridley,RB,NE,5,For Whom Le'Veon Bell Tolls,Benjy,,snake,2025-07-01T16:34:50.437203
2013,,2,21,33,2495893,Brandon Marshall,WR,CHI,8,Marshall Law,Nick,,snake,2025-07-01T16:34:50.437367
2013,,2,22,34,2506874,Reggie Bush,RB,DET,2,Charles in Charge,Ryan,,snake,2025-07-01T16:34:50.437538
2013,,2,23,35,2495454,Julio Jones,WR,ATL,4,TA-VON-ME,Craig,,snake,2025-07-01T16:34:50.437711
2013,,2,24,36,497328,Demaryius Thomas,WR,DEN,12,Jacob's Super Stars,JACOB,,snake,2025-07-01T16:34:50.437891
2013,,3,25,49,2506363,Aaron Rodgers,QB,GB,12,Jacob's Super Stars,JACOB,,snake,2025-07-01T16:34:51.249446
2013,,3,26,50,497236,Jimmy Graham,TE,NO,4,TA-VON-ME,Craig,,snake,2025-07-01T16:34:51.249655
2013,,3,27,51,2501863,Peyton Manning,QB,DEN,2,Charles in Charge,Ryan,,snake,2025-07-01T16:34:51.249845
2013,,3,28,52,2506404,Frank Gore,RB,SF,8,Marshall Law,Nick,,snake,2025-07-01T16:34:51.250027
2013,,3,29,53,2506106,Larry Fitzgerald,WR,ARI,5,For Whom Le'Veon Bell Tolls,Benjy,,snake,2025-07-01T16:34:51.250206
2013,,3,30,54,2533035,David Wilson,RB,NYG,6,MONDAY Night MURDERERS,Alexander,,snake,2025-07-01T16:34:51.250388
2013,,3,31,55,2505551,Andre Johnson,WR,HOU,1,Colin The Shots,Matt,,snake,2025-07-01T16:34:51.250568
2013,,3,32,56,284,Darren McFadden,RB,LV,11,The Green Machine,Jake,,snake,2025-07-01T16:34:51.250752
2013,,3,33,57,2506366,Roddy White,WR,ATL,10,Sproling in It,Andrew,,snake,2025-07-01T16:34:51.250935
2013,,3,34,58,2495558,Dwayne Bowe,WR,KC,9,Newton's Own,Kyle,,snake,2025-07-01T16:34:51.251145
2013,,3,35,59,2507855,Victor Cruz,WR,NYG,3,Vincent's Brownies,Cameron,,snake,2025-07-01T16:34:51.251331
2013,,3,36,60,2495207,DeMarco Murray,RB,DAL,7,Bearing Down,Zach,,snake,2025-07-01T16:34:51.251527
2013,,4,37,73,2506400,Vincent Jackson,WR,TB,7,Bearing Down,Zach,,snake,2025-07-01T16:34:52.033775
2013,,4,38,74,2504747,Reggie Wayne,WR,IND,3,Vincent's Brownies,Cameron,,snake,2025-07-01T16:34:52.034008
