year,nomination,round,pick,overall_pick,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2015,,1,1,1,2507164,Adrian Peterson,RB,MIN,1,Guardians of the Gostkowski,Matt,,snake,2025-07-01T16:35:57.939953
2015,,1,2,2,925,Jamaal Charles,RB,KC,4,The NFL All-Underperformers,Craig,,snake,2025-07-01T16:35:57.940106
2015,,1,3,3,2540175,Le'Veon Bell,RB,PIT,9,Cooper Scoopers,Kyle,,snake,2025-07-01T16:35:57.940242
2015,,1,4,4,2540168,Eddie Lacy,RB,GB,12,I Want to Berees,JACOB,,snake,2025-07-01T16:35:57.940368
2015,,1,5,5,2495663,Marshawn Lynch,RB,SEA,11,Licence to Hill,Jake,,snake,2025-07-01T16:35:57.940498
2015,,1,6,6,234,Matt Forte,RB,CHI,8,Bend it Like Beckham,Nick,,snake,2025-07-01T16:35:57.940627
2015,,1,7,7,79555,Arian Foster,RB,HOU,7,The Walking Dead,Zach,,snake,2025-07-01T16:35:57.940753
2015,,1,8,8,79607,LeSean McCoy,RB,BUF,3,Mange and Julio DBTSY,Cameron,,snake,2025-07-01T16:35:57.940875
2015,,1,9,9,2508061,Antonio Brown,WR,PIT,2,MI6 Quest for the Repeat,Ryan,,snake,2025-07-01T16:35:57.940996
2015,,1,10,10,497278,Dez Bryant,WR,DAL,6,The Iron Bryants,Alexander,,snake,2025-07-01T16:35:57.941132
2015,,1,11,11,2540269,C.J. Anderson,RB,DEN,10,Cole's Drafted Players,Cole,,snake,2025-07-01T16:35:57.941255
2015,,1,12,12,497240,Rob Gronkowski,TE,NE,5,Keenan and Dion Memorial Squad,Benjy,,snake,2025-07-01T16:35:57.941387
2015,,2,13,25,497328,Demaryius Thomas,WR,DEN,5,Keenan and Dion Memorial Squad,Benjy,,snake,2025-07-01T16:35:58.721114
2015,,2,14,26,2533031,Andrew Luck,QB,IND,10,Cole's Drafted Players,Cole,,snake,2025-07-01T16:35:58.721268
2015,,2,15,27,2495450,A.J. Green,WR,CIN,6,The Iron Bryants,Alexander,,snake,2025-07-01T16:35:58.721484
2015,,2,16,28,2495647,Calvin Johnson,WR,DET,2,MI6 Quest for the Repeat,Ryan,,snake,2025-07-01T16:35:58.721617
2015,,2,17,29,2495454,Julio Jones,WR,ATL,3,Mange and Julio DBTSY,Cameron,,snake,2025-07-01T16:35:58.721869
2015,,2,18,30,1032,Jordy Nelson,WR,GB,7,The Walking Dead,Zach,,snake,2025-07-01T16:35:58.722062
2015,,2,19,31,2543496,Odell Beckham,WR,NYG,8,Bend it Like Beckham,Nick,,snake,2025-07-01T16:35:58.722221
2015,,2,20,32,2543603,Jeremy Hill,RB,CIN,11,Licence to Hill,Jake,,snake,2025-07-01T16:35:58.722468
2015,,2,21,33,2495207,DeMarco Murray,RB,PHI,12,I Want to Berees,JACOB,,snake,2025-07-01T16:35:58.722620
2015,,2,22,34,2533039,Alshon Jeffery,WR,CHI,9,Cooper Scoopers,Kyle,,snake,2025-07-01T16:35:58.722789
2015,,2,23,35,927,Justin Forsett,RB,BAL,4,The NFL All-Underperformers,Craig,,snake,2025-07-01T16:35:58.723003
2015,,2,24,36,2506363,Aaron Rodgers,QB,GB,1,Guardians of the Gostkowski,Matt,,snake,2025-07-01T16:35:58.723160
2015,,3,25,49,2495466,Mark Ingram,RB,NO,1,Guardians of the Gostkowski,Matt,,snake,2025-07-01T16:35:59.592835
2015,,3,26,50,2543468,Mike Evans,WR,TB,4,The NFL All-Underperformers,Craig,,snake,2025-07-01T16:35:59.592957
2015,,3,27,51,2552469,Melvin Gordon,RB,LAC,9,Cooper Scoopers,Kyle,,snake,2025-07-01T16:35:59.593071
2015,,3,28,52,2543471,Kelvin Benjamin,WR,CAR,12,I Want to Berees,JACOB,,snake,2025-07-01T16:35:59.593184
2015,,3,29,53,2532865,T.Y. Hilton,WR,IND,11,Licence to Hill,Jake,,snake,2025-07-01T16:35:59.593298
2015,,3,30,54,2533457,Alfred Morris,RB,WAS,8,Bend it Like Beckham,Nick,,snake,2025-07-01T16:35:59.593430
2015,,3,31,55,2506404,Frank Gore,RB,IND,7,The Walking Dead,Zach,,snake,2025-07-01T16:35:59.593576
2015,,3,32,56,497236,Jimmy Graham,TE,SEA,3,Mange and Julio DBTSY,Cameron,,snake,2025-07-01T16:35:59.593695
2015,,3,33,57,2552453,Tevin Coleman,RB,ATL,2,MI6 Quest for the Repeat,Ryan,,snake,2025-07-01T16:35:59.593861
2015,,3,34,58,2543743,Carlos Hyde,RB,SF,6,The Iron Bryants,Alexander,,snake,2025-07-01T16:35:59.593985
2015,,3,35,59,2495448,Randall Cobb,WR,GB,10,Cole's Drafted Players,Cole,,snake,2025-07-01T16:35:59.594102
2015,,3,36,60,2540165,DeAndre Hopkins,WR,HOU,5,Keenan and Dion Memorial Squad,Benjy,,snake,2025-07-01T16:35:59.594219
2015,,4,37,73,2533034,Lamar Miller,RB,MIA,5,Keenan and Dion Memorial Squad,Benjy,,snake,2025-07-01T16:36:00.403692
2015,,4,38,74,497322,Emmanuel Sanders,WR,DEN,10,Cole's Drafted Players,Cole,,snake,2025-07-01T16:36:00.403843
2015,,4,39,75,2541161,Latavius Murray,RB,LV,6,The Iron Bryants,Alexander,,snake,2025-07-01T16:36:00.403978
2015,,4,40,76,2540171,Joseph Randle,,,2,MI6 Quest for the Repeat,Ryan,,snake,2025-07-01T16:36:00.404108
