year,nomination,round,pick,overall_pick,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2017,,1,1,1,2553435,David Johnson,RB,ARI,11,Suicide Squad,Jake,,snake,2025-07-01T16:37:05.921092
2017,,1,2,2,2508061,Antonio Brown,WR,PIT,6,Roaring Rivers,Alexander,,snake,2025-07-01T16:37:05.921321
2017,,1,3,3,2540175,Le'Veon Bell,RB,PIT,5,Ultralight Kareem,Benjy,,snake,2025-07-01T16:37:05.921541
2017,,1,4,4,79607,LeSean McCoy,RB,BUF,7,New Gurley,Zach,,snake,2025-07-01T16:37:05.921755
2017,,1,5,5,2495454,Julio Jones,WR,ATL,12,Hooked on a Thielen,James,,snake,2025-07-01T16:37:05.921966
2017,,1,6,6,2543468,Mike Evans,WR,TB,9,Diggs It,Kyle,,snake,2025-07-01T16:37:05.922177
2017,,1,7,7,2552469,Melvin Gordon,RB,LAC,3,Allen the Family,Cameron,,snake,2025-07-01T16:37:05.922388
2017,,1,8,8,2495450,A.J. Green,WR,CIN,1,Nuthin but a Green Thang,Matt,,snake,2025-07-01T16:37:05.922598
2017,,1,9,9,2543496,Odell Beckham,WR,NYG,8,O Beckham Where Art Thou,Nick,,snake,2025-07-01T16:37:05.922806
2017,,1,10,10,2495663,Marshawn Lynch,RB,LV,2,Don't Check My Pryors,Ryan,,snake,2025-07-01T16:37:05.923022
2017,,2,11,23,2543583,Devonta Freeman,RB,ATL,2,Don't Check My Pryors,Ryan,,snake,2025-07-01T16:37:06.671502
2017,,2,12,24,2555418,Jordan Howard,RB,CHI,8,O Beckham Where Art Thou,Nick,,snake,2025-07-01T16:37:06.671823
2017,,2,13,25,1032,Jordy Nelson,WR,GB,1,Nuthin but a Green Thang,Matt,,snake,2025-07-01T16:37:06.672133
2017,,2,14,26,2495207,DeMarco Murray,RB,TEN,3,Allen the Family,Cameron,,snake,2025-07-01T16:37:06.672531
2017,,2,15,27,2552582,Jay Ajayi,RB,PHI,9,Diggs It,Kyle,,snake,2025-07-01T16:37:06.672786
2017,,2,16,28,2556370,Michael Thomas,WR,NO,12,Hooked on a Thielen,James,,snake,2025-07-01T16:37:06.673037
2017,,2,17,29,2552475,Todd Gurley,RB,LA,7,New Gurley,Zach,,snake,2025-07-01T16:37:06.673286
2017,,2,18,30,497278,Dez Bryant,WR,DAL,5,Ultralight Kareem,Benjy,,snake,2025-07-01T16:37:06.673530
2017,,2,19,31,2555224,Ezekiel Elliott,RB,DAL,6,Roaring Rivers,Alexander,,snake,2025-07-01T16:37:06.673773
2017,,2,20,32,2532865,T.Y. Hilton,WR,IND,11,Suicide Squad,Jake,,snake,2025-07-01T16:37:06.674023
2017,,3,21,45,2552487,Amari Cooper,WR,LV,11,Suicide Squad,Jake,,snake,2025-07-01T16:37:07.409635
2017,,3,22,46,2540165,DeAndre Hopkins,WR,HOU,6,Roaring Rivers,Alexander,,snake,2025-07-01T16:37:07.409968
2017,,3,23,47,2543498,Brandin Cooks,WR,NE,5,Ultralight Kareem,Benjy,,snake,2025-07-01T16:37:07.410275
2017,,3,24,48,497240,Rob Gronkowski,TE,NE,7,New Gurley,Zach,,snake,2025-07-01T16:37:07.410580
2017,,3,25,49,2533034,Lamar Miller,RB,HOU,12,Hooked on a Thielen,James,,snake,2025-07-01T16:37:07.410874
2017,,3,26,50,2530747,Doug Baldwin,WR,SEA,9,Diggs It,Kyle,,snake,2025-07-01T16:37:07.411125
2017,,3,27,51,71269,Michael Crabtree,WR,LV,3,Allen the Family,Cameron,,snake,2025-07-01T16:37:07.411372
2017,,3,28,52,2550189,Isaiah Crowell,RB,CLE,1,Nuthin but a Green Thang,Matt,,snake,2025-07-01T16:37:07.411620
2017,,3,29,53,2557973,Leonard Fournette,RB,JAX,8,O Beckham Where Art Thou,Nick,,snake,2025-07-01T16:37:07.411870
2017,,3,30,54,2531332,Terrelle Pryor,WR,WAS,2,Don't Check My Pryors,Ryan,,snake,2025-07-01T16:37:07.412129
2017,,4,31,67,2506363,Aaron Rodgers,QB,GB,2,Don't Check My Pryors,Ryan,,snake,2025-07-01T16:37:08.178451
2017,,4,32,68,2504211,Tom Brady,QB,NE,8,O Beckham Where Art Thou,Nick,,snake,2025-07-01T16:37:08.178727
2017,,4,33,69,2543743,Carlos Hyde,RB,SF,1,Nuthin but a Green Thang,Matt,,snake,2025-07-01T16:37:08.179004
2017,,4,34,70,497326,Golden Tate,WR,DET,3,Allen the Family,Cameron,,snake,2025-07-01T16:37:08.179308
2017,,4,35,71,2533039,Alshon Jeffery,WR,PHI,9,Diggs It,Kyle,,snake,2025-07-01T16:37:08.179605
2017,,4,36,72,2557997,Christian McCaffrey,RB,CAR,12,Hooked on a Thielen,James,,snake,2025-07-01T16:37:08.179854
2017,,4,37,73,2504775,Drew Brees,QB,NO,7,New Gurley,Zach,,snake,2025-07-01T16:37:08.180098
2017,,4,38,74,2557917,Kareem Hunt,RB,KC,5,Ultralight Kareem,Benjy,,snake,2025-07-01T16:37:08.180344
2017,,4,39,75,2556414,Rob Kelley,RB,WAS,6,Roaring Rivers,Alexander,,snake,2025-07-01T16:37:08.180589
2017,,4,40,76,2495466,Mark Ingram,RB,NO,11,Suicide Squad,Jake,,snake,2025-07-01T16:37:08.180842
2017,,5,41,89,2557991,Dalvin Cook,RB,MIN,11,Suicide Squad,Jake,,snake,2025-07-01T16:37:08.931904
2017,,5,42,90,2540154,Keenan Allen,WR,LAC,6,Roaring Rivers,Alexander,,snake,2025-07-01T16:37:08.932286
2017,,5,43,91,497328,Demaryius Thomas,WR,DEN,5,Ultralight Kareem,Benjy,,snake,2025-07-01T16:37:08.932677
2017,,5,44,92,2543488,Jarvis Landry,WR,MIA,7,New Gurley,Zach,,snake,2025-07-01T16:37:08.933101
2017,,5,45,93,2543509,Allen Robinson,WR,JAX,12,Hooked on a Thielen,James,,snake,2025-07-01T16:37:08.933468
