team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,InstaGraham,Matt,646819,10,32,1,"Fri, Dec 19, 5:57pm"
6,SweatyandEddiesQuestfortheStag,Alexander,770387,5,24,2,"Sun, Dec 21, 9:51am"
5,My Dinner with Andre,Benjy,1750812,8,45,1,"Fri, Dec 19, 9:19pm"
3,Stills Harvin Some Woodhead,Cameron,1778244,12,34,0,"Fri, Dec 19, 12:00pm"
8,The Real McCoy,Nick,2028716,3,11,0,"Sat, Dec 13, 5:05pm"
4,The Watkins Diet,Craig,2189986,9,50,1,"Wed, Dec 17, 4:49pm"
2,Cloudy With A Chance of Montee,Ryan,2821640,2,18,1,"Wed, Nov 19, 12:37am"
9,Chuck-E-Brees,Kyle,3348683,4,22,1,"Sat, Dec 20, 4:53pm"
7,Knowshon's Eleven,Zach,3848212,7,18,0,"Sun, Dec 14, 9:15am"
11,Christopher Welken,Jake,3857345,11,42,0,"Sun, Dec 21, 2:52pm"
10,Forte's Foreplay,Cole,4164808,6,13,0,"Sun, Dec 14, 9:34am"
12,Taco's Bell,JACOB,5146313,1,8,1,"Wed, Dec 10, 9:16pm"
