game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at
20140164,2014,1,SweatyandEddiesQuestfortheStag,6,59.46,0-1-0,11,The Watkins Diet,4,120.88,1-0-0,1,2025-06-22T05:16:00.802Z
201401111,2014,1,InstaGraham,1,89.1,0-1-0,8,Christopher Welken,11,94.66,1-0-0,5,2025-06-22T05:16:00.802Z
201401129,2014,1,Taco's Bell,12,85.38,1-0-0,6,Chuck-E-Brees,9,56.22,0-1-0,12,2025-06-22T05:16:00.802Z
20140127,2014,1,Cloudy With A Chance of Montee,2,99.56,1-0-0,4,Knowshon's Eleven,7,84.52,0-1-0,9,2025-06-22T05:16:00.802Z
201401105,2014,1,Forte's Foreplay,10,119.84,1-0-0,2,My Dinner with Andre,5,78.54,0-1-0,10,2025-06-22T05:16:00.802Z
20140138,2014,1,Stills Harvin Some Woodhead,3,111.42,1-0-0,3,The Real McCoy,8,108.84,0-1-0,7,2025-06-22T05:16:00.802Z
201402113,2014,2,Christopher Welken,11,95.28,2-0-0,2,Stills Harvin Some Woodhead,3,91.76,1-1-0,3,2025-06-22T05:16:13.840Z
201402512,2014,2,My Dinner with Andre,5,102.28,1-1-0,7,Taco's Bell,12,84.92,1-1-0,8,2025-06-22T05:16:13.840Z
20140226,2014,2,Cloudy With A Chance of Montee,2,92.74,1-1-0,6,SweatyandEddiesQuestfortheStag,6,98.44,1-1-0,10,2025-06-22T05:16:13.840Z
20140218,2014,2,InstaGraham,1,108.78,1-1-0,4,The Real McCoy,8,82.74,0-2-0,11,2025-06-22T05:16:13.840Z
201402109,2014,2,Forte's Foreplay,10,78.22,2-0-0,1,Chuck-E-Brees,9,70.88,0-2-0,12,2025-06-22T05:16:13.840Z
20140274,2014,2,Knowshon's Eleven,7,77.94,1-1-0,9,The Watkins Diet,4,75.64,1-1-0,5,2025-06-22T05:16:13.840Z
2014031112,2014,3,Christopher Welken,11,78.32,2-1-0,4,Taco's Bell,12,97.16,2-1-0,5,2025-06-22T05:16:26.904Z
20140357,2014,3,My Dinner with Andre,5,78.32,1-2-0,9,Knowshon's Eleven,7,120.64,2-1-0,2,2025-06-22T05:16:26.904Z
20140334,2014,3,Stills Harvin Some Woodhead,3,52.84,1-2-0,10,The Watkins Diet,4,82.2,2-1-0,3,2025-06-22T05:16:26.904Z
20140391,2014,3,Chuck-E-Brees,9,88.72,1-2-0,11,InstaGraham,1,88.4,1-2-0,7,2025-06-22T05:16:26.904Z
20140386,2014,3,The Real McCoy,8,84.74,0-3-0,12,SweatyandEddiesQuestfortheStag,6,97.98,2-1-0,6,2025-06-22T05:16:26.904Z
201403210,2014,3,Cloudy With A Chance of Montee,2,79.5,1-2-0,8,Forte's Foreplay,10,80.6,3-0-0,1,2025-06-22T05:16:26.904Z
20140424,2014,4,Cloudy With A Chance of Montee,2,77.34,2-2-0,6,The Watkins Diet,4,42.6,2-2-0,8,2025-06-22T05:16:39.884Z
201404812,2014,4,The Real McCoy,8,117.82,1-3-0,10,Taco's Bell,12,101.22,2-2-0,4,2025-06-22T05:16:39.884Z
20140459,2014,4,My Dinner with Andre,5,90.58,1-3-0,11,Chuck-E-Brees,9,98.9,2-2-0,9,2025-06-22T05:16:39.884Z
2014041110,2014,4,Christopher Welken,11,82.06,2-2-0,5,Forte's Foreplay,10,124.2,4-0-0,1,2025-06-22T05:16:39.884Z
20140413,2014,4,InstaGraham,1,111.12,2-2-0,3,Stills Harvin Some Woodhead,3,80.18,1-3-0,12,2025-06-22T05:16:39.884Z
20140467,2014,4,SweatyandEddiesQuestfortheStag,6,73.38,2-2-0,7,Knowshon's Eleven,7,84.42,3-1-0,2,2025-06-22T05:16:39.884Z
201405106,2014,5,Forte's Foreplay,10,95.84,5-0-0,1,SweatyandEddiesQuestfortheStag,6,86.64,2-3-0,9,2025-06-22T05:16:52.920Z
