team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,The REVolution,Matt,646819,10,43,0,"Sat, Dec 24, 11:27am"
2,Granger Danger,Alexander,770387,8,16,2,"Tue, Dec 6, 6:11pm"
3,D Street Corsairs,Andrew,1573498,3,8,2,"Thu, Dec 8, 11:17pm"
4,HOLDEN CAUFIELDS,Benjy,1750812,1,28,1,"Sat, Dec 17, 11:20am"
5,Fencing Beats Football,Cameron,1778244,7,21,1,"Tue, Dec 20, 9:56pm"
6,Swagger Badgers,Ross,1930156,6,11,0,"Thu, Dec 15, 6:05pm"
7,Big Bird's Barbarians,Nick,2028716,4,8,0,"Sat, Dec 24, 8:37am"
8,Free DOME,Tim,2077461,2,0,0,
9,Go Pack Go,Ryan,2126483,5,7,1,"Tue, Dec 13, 9:17am"
10,Village Park Recreational Club,Craig,2189986,9,43,1,"Sun, Dec 25, 2:31am"
