game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_playoff,playoff_round,playoff_bracket,playoff_round_name
20110931,2011,9,D Street Corsairs,3,74.0,0-17-0,8,The REVolution,1,105.28,17-0-0,7,2025-05-30T12:09:59.207418,False,,,
20110924,2011,9,Granger Danger,2,122.72,17-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-17-0,9,2025-05-30T12:09:59.207626,False,,,
201109105,2011,9,Village Park Recreational Club,10,86.58,0-17-0,10,Fencing Beats Football,5,108.78,17-0-0,6,2025-05-30T12:09:59.207828,False,,,
20110996,2011,9,Go Pack Go,9,124.7,0-17-0,4,Swagger Badgers,6,127.52,17-0-0,3,2025-05-30T12:09:59.208028,False,,,
20110987,2011,9,Free DOME,8,142.4,17-0-0,2,Big Bird's Barbarians,7,99.32,0-17-0,5,2025-05-30T12:09:59.208262,False,,,
20111031,2011,10,D Street Corsairs,3,74.0,0-19-0,8,The REVolution,1,105.28,19-0-0,7,2025-05-30T12:10:01.646974,False,,,
20111024,2011,10,Granger Danger,2,122.72,19-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-19-0,9,2025-05-30T12:10:01.647178,False,,,
201110105,2011,10,Village Park Recreational Club,10,86.58,0-19-0,10,Fencing Beats Football,5,108.78,19-0-0,6,2025-05-30T12:10:01.647368,False,,,
20111096,2011,10,Go Pack Go,9,124.7,0-19-0,4,Swagger Badgers,6,127.52,19-0-0,3,2025-05-30T12:10:01.647563,False,,,
20111087,2011,10,Free DOME,8,142.4,19-0-0,2,Big Bird's Barbarians,7,99.32,0-19-0,5,2025-05-30T12:10:01.647754,False,,,
20111131,2011,11,D Street Corsairs,3,74.0,0-21-0,8,The REVolution,1,105.28,21-0-0,7,2025-05-30T12:10:04.544094,False,,,
20111124,2011,11,Granger Danger,2,122.72,21-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-21-0,9,2025-05-30T12:10:04.544310,False,,,
201111105,2011,11,Village Park Recreational Club,10,86.58,0-21-0,10,Fencing Beats Football,5,108.78,21-0-0,6,2025-05-30T12:10:04.544503,False,,,
20111196,2011,11,Go Pack Go,9,124.7,0-21-0,4,Swagger Badgers,6,127.52,21-0-0,3,2025-05-30T12:10:04.544695,False,,,
20111187,2011,11,Free DOME,8,142.4,21-0-0,2,Big Bird's Barbarians,7,99.32,0-21-0,5,2025-05-30T12:10:04.544884,False,,,
20111231,2011,12,D Street Corsairs,3,74.0,0-23-0,8,The REVolution,1,105.28,23-0-0,7,2025-05-30T12:10:07.175368,False,,,
20111224,2011,12,Granger Danger,2,122.72,23-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-23-0,9,2025-05-30T12:10:07.175594,False,,,
