game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_simulated,simulation_type,is_playoff,playoff_round,bracket,playoff_round_name
20110112,2011,1,The REVolution,1,94.28,0-1-0,7,Granger Danger,2,130.98,1-0-0,1,2025-06-22T00:37:39.469Z,False,,False,,,
201101310,2011,1,D Street Corsairs,3,99.76,1-0-0,5,Village Park Recreational Club,10,92.76,0-1-0,8,2025-06-22T00:37:39.469Z,False,,False,,,
20110149,2011,1,HOLDEN CAUFIELDS,4,90.4,0-1-0,10,Go Pack Go,9,100.68,1-0-0,4,2025-06-22T00:37:39.469Z,False,,False,,,
20110158,2011,1,Fencing Beats Football,5,91.82,0-1-0,9,Free DOME,8,109.5,1-0-0,3,2025-06-22T00:37:39.469Z,False,,False,,,
20110167,2011,1,Swagger Badgers,6,105.88,0-1-0,6,Big Bird's Barbarians,7,110.5,1-0-0,2,2025-06-22T00:37:39.469Z,False,,False,,,
20110231,2011,2,D Street Corsairs,3,74.0,1-1-0,8,The REVolution,1,105.28,1-1-0,7,2025-06-21T20:34:17.570Z,False,,False,,,
20110224,2011,2,Granger Danger,2,122.72,2-0-0,1,HOLDEN CAUFIELDS,4,109.0,0-2-0,9,2025-06-21T20:34:17.570Z,False,,False,,,
201102105,2011,2,Village Park Recreational Club,10,86.58,0-2-0,10,Fencing Beats Football,5,108.78,1-1-0,6,2025-06-21T20:34:17.570Z,False,,False,,,
20110296,2011,2,Go Pack Go,9,124.7,1-1-0,4,Swagger Badgers,6,127.52,1-1-0,3,2025-06-21T20:34:17.570Z,False,,False,,,
20110287,2011,2,Free DOME,8,142.4,2-0-0,2,Big Bird's Barbarians,7,99.32,1-1-0,5,2025-06-21T20:34:17.570Z,False,,False,,,
20110314,2011,3,The REVolution,1,77.64,2-1-0,5,HOLDEN CAUFIELDS,4,58.8,0-3-0,10,2025-06-21T20:34:30.835Z,False,,False,,,
20110353,2011,3,Fencing Beats Football,5,95.32,2-1-0,4,D Street Corsairs,3,79.5,1-2-0,9,2025-06-21T20:34:30.835Z,False,,False,,,
20110362,2011,3,Swagger Badgers,6,102.78,1-2-0,6,Granger Danger,2,135.28,3-0-0,1,2025-06-21T20:34:30.835Z,False,,False,,,
201103710,2011,3,Big Bird's Barbarians,7,79.74,1-2-0,7,Village Park Recreational Club,10,80.2,1-2-0,8,2025-06-21T20:34:30.835Z,False,,False,,,
20110389,2011,3,Free DOME,8,69.8,2-1-0,3,Go Pack Go,9,107.18,2-1-0,2,2025-06-21T20:34:30.835Z,False,,False,,,
20110451,2011,4,Fencing Beats Football,5,114.56,3-1-0,2,The REVolution,1,106.64,2-2-0,7,2025-06-21T20:27:09.915Z,False,,False,,,
20110446,2011,4,HOLDEN CAUFIELDS,4,76.02,0-4-0,10,Swagger Badgers,6,119.62,2-2-0,3,2025-06-21T20:27:09.915Z,False,,False,,,
20110437,2011,4,D Street Corsairs,3,74.24,1-3-0,9,Big Bird's Barbarians,7,120.08,2-2-0,5,2025-06-21T20:27:09.915Z,False,,False,,,
20110428,2011,4,Granger Danger,2,133.04,4-0-0,1,Free DOME,8,66.8,2-2-0,6,2025-06-21T20:27:09.915Z,False,,False,,,
201104109,2011,4,Village Park Recreational Club,10,101.74,2-2-0,8,Go Pack Go,9,89.64,2-2-0,4,2025-06-21T20:27:09.915Z,False,,False,,,
20110516,2011,5,The REVolution,1,112.3,3-2-0,4,Swagger Badgers,6,83.64,2-3-0,6,2025-06-21T18:56:49.823Z,False,,False,,,
20110575,2011,5,Big Bird's Barbarians,7,118.1,2-3-0,7,Fencing Beats Football,5,123.46,4-1-0,2,2025-06-21T18:56:49.823Z,False,,False,,,
20110584,2011,5,Free DOME,8,93.5,3-2-0,5,HOLDEN CAUFIELDS,4,89.64,0-5-0,10,2025-06-21T18:56:49.823Z,False,,False,,,
20110593,2011,5,Go Pack Go,9,80.28,3-2-0,3,D Street Corsairs,3,75.36,1-4-0,9,2025-06-21T18:56:49.823Z,False,,False,,,
201105102,2011,5,Village Park Recreational Club,10,44.48,2-3-0,8,Granger Danger,2,96.34,5-0-0,1,2025-06-21T18:56:49.823Z,False,,False,,,
20110671,2011,6,Big Bird's Barbarians,7,71.78,2-4-0,8,The REVolution,1,104.38,4-2-0,4,2025-06-21T18:57:03.140Z,False,,False,,,
20110668,2011,6,Swagger Badgers,6,107.14,3-3-0,5,Free DOME,8,69.1,3-3-0,6,2025-06-21T18:57:03.140Z,False,,False,,,
20110659,2011,6,Fencing Beats Football,5,99.28,4-2-0,2,Go Pack Go,9,107.78,4-2-0,3,2025-06-21T18:57:03.140Z,False,,False,,,
201106410,2011,6,HOLDEN CAUFIELDS,4,59.5,0-6-0,10,Village Park Recreational Club,10,89.14,3-3-0,7,2025-06-21T18:57:03.140Z,False,,False,,,
20110632,2011,6,D Street Corsairs,3,88.52,2-4-0,9,Granger Danger,2,78.26,5-1-0,1,2025-06-21T18:57:03.140Z,False,,False,,,
20110718,2011,7,The REVolution,1,86.24,5-2-0,3,Free DOME,8,61.3,3-4-0,8,2025-06-21T19:01:07.850Z,False,,False,,,
20110797,2011,7,Go Pack Go,9,61.54,4-3-0,4,Big Bird's Barbarians,7,102.16,3-4-0,7,2025-06-21T19:01:07.850Z,False,,False,,,
201107106,2011,7,Village Park Recreational Club,10,109.38,4-3-0,5,Swagger Badgers,6,94.5,3-4-0,6,2025-06-21T19:01:07.850Z,False,,False,,,
20110725,2011,7,Granger Danger,2,71.94,5-2-0,1,Fencing Beats Football,5,75.04,5-2-0,2,2025-06-21T19:01:07.850Z,False,,False,,,
20110734,2011,7,D Street Corsairs,3,83.3,2-5-0,9,HOLDEN CAUFIELDS,4,85.44,1-6-0,10,2025-06-21T19:01:07.850Z,False,,False,,,
20110891,2011,8,Go Pack Go,9,92.72,4-4-0,6,The REVolution,1,103.86,6-2-0,3,2025-06-21T19:01:20.865Z,False,,False,,,
201108810,2011,8,Free DOME,8,65.6,3-5-0,8,Village Park Recreational Club,10,71.24,5-3-0,4,2025-06-21T19:01:20.865Z,False,,False,,,
20110872,2011,8,Big Bird's Barbarians,7,91.36,3-5-0,7,Granger Danger,2,92.42,6-2-0,1,2025-06-21T19:01:20.865Z,False,,False,,,
20110863,2011,8,Swagger Badgers,6,96.38,4-4-0,5,D Street Corsairs,3,48.16,2-6-0,9,2025-06-21T19:01:20.865Z,False,,False,,,
20110854,2011,8,Fencing Beats Football,5,99.4,6-2-0,2,HOLDEN CAUFIELDS,4,86.0,1-7-0,10,2025-06-21T19:01:20.865Z,False,,False,,,
201109110,2011,9,The REVolution,1,112.02,7-2-0,2,Village Park Recreational Club,10,85.8,5-4-0,5,2025-06-21T19:01:34.070Z,False,,False,,,
20110929,2011,9,Granger Danger,2,109.68,7-2-0,1,Go Pack Go,9,86.56,4-5-0,7,2025-06-21T19:01:34.070Z,False,,False,,,
20110938,2011,9,D Street Corsairs,3,46.62,2-7-0,9,Free DOME,8,53.7,4-5-0,8,2025-06-21T19:01:34.070Z,False,,False,,,
20110947,2011,9,HOLDEN CAUFIELDS,4,58.76,1-8-0,10,Big Bird's Barbarians,7,96.0,4-5-0,6,2025-06-21T19:01:34.070Z,False,,False,,,
20110956,2011,9,Fencing Beats Football,5,94.54,6-3-0,3,Swagger Badgers,6,116.28,5-4-0,4,2025-06-21T19:01:34.070Z,False,,False,,,
20111021,2011,10,Granger Danger,2,78.66,8-2-0,1,The REVolution,1,68.82,7-3-0,3,2025-06-21T19:01:47.446Z,False,,False,,,
201110103,2011,10,Village Park Recreational Club,10,117.14,6-4-0,5,D Street Corsairs,3,106.98,2-8-0,9,2025-06-21T19:01:47.446Z,False,,False,,,
20111094,2011,10,Go Pack Go,9,101.7,5-5-0,6,HOLDEN CAUFIELDS,4,94.78,1-9-0,10,2025-06-21T19:01:47.446Z,False,,False,,,
20111085,2011,10,Free DOME,8,52.6,4-6-0,8,Fencing Beats Football,5,74.62,7-3-0,2,2025-06-21T19:01:47.446Z,False,,False,,,
20111076,2011,10,Big Bird's Barbarians,7,92.66,4-6-0,7,Swagger Badgers,6,108.1,6-4-0,4,2025-06-21T19:01:47.446Z,False,,False,,,
20111113,2011,11,The REVolution,1,66.36,7-4-0,4,D Street Corsairs,3,94.56,3-8-0,9,2025-06-21T19:02:00.589Z,False,,False,,,
20111142,2011,11,HOLDEN CAUFIELDS,4,79.88,1-10-0,10,Granger Danger,2,107.86,9-2-0,1,2025-06-21T19:02:00.589Z,False,,False,,,
