team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,Forgetting Brandon Marshall,Matt,646819,10,35,2,"Sun, Dec 23, 1:26am"
6,Dragon Army,Alexander,770387,11,24,2,"Thu, Dec 20, 10:11pm"
10,ENDER,Andrew,1573498,7,9,0,"Tue, Dec 11, 8:14am"
5,Fifty Shades of Garay,Benjy,1750812,9,28,2,"Wed, Dec 19, 8:58am"
3,Hardball with Ryan Mathews,Cameron,1778244,4,37,0,"Sat, Mar 30, 5:15pm"
12,Swagger Badgers,Ross,1930156,6,6,1,"Wed, Nov 28, 9:42am"
8,Recepticons,Nick,2028716,5,12,0,"Thu, Dec 13, 12:31pm"
4,BedonkaGronk,Craig,2189986,12,51,0,"Sat, Dec 22, 2:05am"
2,Forte Percent Chance of Wayne,Ryan,2821640,1,28,3,"Thu, Dec 20, 8:39am"
7,I Got Weeden My Pocket,Dylan,2867641,2,7,0,"Tue, Nov 20, 12:25pm"
9,Gimme the docta,Kyle,3348683,3,16,0,"Thu, Dec 13, 4:56pm"
11,Taco,Jake,3857345,8,27,2,"Sat, Dec 22, 5:18pm"
