game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_playoff,playoff_round,bracket,playoff_round_name
20160125,2016,1,King Goffery,2,97.32,0-1-0,9,Joey Bosa Shrug Emoji,5,105.08,1-0-0,3,2025-06-22T05:29:04.202Z,False,,,
201601710,2016,1,LCD Stagsystem,7,82.92,0-1-0,10,Cole's Drafted Players,10,102.56,1-0-0,4,2025-06-22T05:29:04.202Z,False,,,
20160119,2016,1,Latavius Maximus,1,72.3,0-1-0,12,Mon Don't Grief,9,98.7,1-0-0,5,2025-06-22T05:29:04.202Z,False,,,
2016011112,2016,1,Outback Jakehouse,11,103.26,0-1-0,8,theres something about Mathews,12,106.64,1-0-0,2,2025-06-22T05:29:04.202Z,False,,,
20160134,2016,1,Aiken' for the ThreePeat,3,91.48,1-0-0,6,The PTY's,4,81.52,0-1-0,11,2025-06-22T05:29:04.202Z,False,,,
20160168,2016,1,HYDROPOWER,6,136.0,1-0-0,1,Miller High Lyfe,8,105.1,0-1-0,7,2025-06-22T05:29:04.202Z,False,,,
20160226,2016,2,King Goffery,2,93.42,0-2-0,10,HYDROPOWER,6,100.76,2-0-0,1,2025-06-22T05:29:16.944Z,False,,,
20160258,2016,2,Joey Bosa Shrug Emoji,5,68.72,1-1-0,8,Miller High Lyfe,8,90.96,1-1-0,5,2025-06-22T05:29:16.944Z,False,,,
201602711,2016,2,LCD Stagsystem,7,89.0,1-1-0,9,Outback Jakehouse,11,77.62,0-2-0,11,2025-06-22T05:29:16.944Z,False,,,
2016021012,2016,2,Cole's Drafted Players,10,117.92,2-0-0,2,theres something about Mathews,12,112.72,1-1-0,4,2025-06-22T05:29:16.944Z,False,,,
20160213,2016,2,Latavius Maximus,1,57.3,0-2-0,12,Aiken' for the ThreePeat,3,99.58,2-0-0,3,2025-06-22T05:29:16.944Z,False,,,
20160294,2016,2,Mon Don't Grief,9,77.06,1-1-0,7,The PTY's,4,96.96,1-1-0,6,2025-06-22T05:29:16.944Z,False,,,
201603211,2016,3,King Goffery,2,92.24,0-3-0,11,Outback Jakehouse,11,135.9,1-2-0,8,2025-06-22T05:29:29.889Z,False,,,
201603512,2016,3,Joey Bosa Shrug Emoji,5,46.7,1-2-0,10,theres something about Mathews,12,59.66,2-1-0,6,2025-06-22T05:29:29.889Z,False,,,
20160373,2016,3,LCD Stagsystem,7,108.04,2-1-0,5,Aiken' for the ThreePeat,3,96.3,2-1-0,3,2025-06-22T05:29:29.889Z,False,,,
201603104,2016,3,Cole's Drafted Players,10,76.18,2-1-0,2,The PTY's,4,92.46,2-1-0,7,2025-06-22T05:29:29.889Z,False,,,
20160316,2016,3,Latavius Maximus,1,70.18,0-3-0,12,HYDROPOWER,6,124.08,3-0-0,1,2025-06-22T05:29:29.889Z,False,,,
20160398,2016,3,Mon Don't Grief,9,105.24,2-1-0,4,Miller High Lyfe,8,95.86,1-2-0,9,2025-06-22T05:29:29.890Z,False,,,
201604210,2016,4,King Goffery,2,99.98,1-3-0,9,Cole's Drafted Players,10,71.0,2-2-0,6,2025-06-22T05:29:42.971Z,False,,,
20160457,2016,4,Joey Bosa Shrug Emoji,5,71.68,1-3-0,11,LCD Stagsystem,7,80.84,3-1-0,3,2025-06-22T05:29:42.971Z,False,,,
201604112,2016,4,Latavius Maximus,1,79.62,1-3-0,12,theres something about Mathews,12,67.62,2-2-0,8,2025-06-22T05:29:42.971Z,False,,,
201604911,2016,4,Mon Don't Grief,9,81.76,2-2-0,7,Outback Jakehouse,11,95.22,2-2-0,4,2025-06-22T05:29:42.971Z,False,,,
20160438,2016,4,Aiken' for the ThreePeat,3,94.3,3-1-0,2,Miller High Lyfe,8,78.98,1-3-0,10,2025-06-22T05:29:42.971Z,False,,,
20160446,2016,4,The PTY's,4,108.96,2-2-0,5,HYDROPOWER,6,127.9,4-0-0,1,2025-06-22T05:29:42.971Z,False,,,
201605122,2016,5,theres something about Mathews,12,89.34,3-2-0,4,King Goffery,2,88.96,1-4-0,11,2025-06-22T05:29:55.872Z,False,,,
201605115,2016,5,Outback Jakehouse,11,86.86,2-3-0,5,Joey Bosa Shrug Emoji,5,99.22,2-3-0,9,2025-06-22T05:29:55.872Z,False,,,
20160547,2016,5,The PTY's,4,87.46,2-3-0,6,LCD Stagsystem,7,91.96,4-1-0,3,2025-06-22T05:29:55.872Z,False,,,
201605310,2016,5,Aiken' for the ThreePeat,3,92.08,4-1-0,2,Cole's Drafted Players,10,47.7,2-3-0,8,2025-06-22T05:29:55.872Z,False,,,
20160581,2016,5,Miller High Lyfe,8,22.44,1-4-0,12,Latavius Maximus,1,95.8,2-3-0,10,2025-06-22T05:29:55.872Z,False,,,
20160569,2016,5,HYDROPOWER,6,120.0,5-0-0,1,Mon Don't Grief,9,96.18,2-3-0,7,2025-06-22T05:29:55.872Z,False,,,
20160672,2016,6,LCD Stagsystem,7,45.12,4-2-0,4,King Goffery,2,133.94,2-4-0,7,2025-06-22T05:30:08.967Z,False,,,
201606510,2016,6,Joey Bosa Shrug Emoji,5,95.36,3-3-0,6,Cole's Drafted Players,10,82.46,2-4-0,11,2025-06-22T05:30:08.967Z,False,,,
201606111,2016,6,Outback Jakehouse,11,75.26,2-4-0,8,Latavius Maximus,1,116.02,3-3-0,5,2025-06-22T05:30:08.967Z,False,,,
201606912,2016,6,Mon Don't Grief,9,71.28,2-4-0,10,theres something about Mathews,12,109.64,4-2-0,3,2025-06-22T05:30:08.967Z,False,,,
20160663,2016,6,HYDROPOWER,6,77.56,5-1-0,1,Aiken' for the ThreePeat,3,81.68,5-1-0,2,2025-06-22T05:30:08.967Z,False,,,
20160648,2016,6,The PTY's,4,74.2,2-4-0,9,Miller High Lyfe,8,80.94,2-4-0,12,2025-06-22T05:30:08.967Z,False,,,
2016071110,2016,7,Outback Jakehouse,11,67.34,2-5-0,10,Cole's Drafted Players,10,119.32,3-4-0,7,2025-06-22T05:30:21.972Z,False,,,
201607127,2016,7,theres something about Mathews,12,79.18,5-2-0,3,LCD Stagsystem,7,59.54,4-3-0,4,2025-06-22T05:30:21.972Z,False,,,
20160739,2016,7,Aiken' for the ThreePeat,3,84.32,6-1-0,2,Mon Don't Grief,9,78.1,2-5-0,11,2025-06-22T05:30:21.972Z,False,,,
20160741,2016,7,The PTY's,4,94.68,3-4-0,6,Latavius Maximus,1,56.94,3-4-0,9,2025-06-22T05:30:21.972Z,False,,,
20160765,2016,7,HYDROPOWER,6,149.86,6-1-0,1,Joey Bosa Shrug Emoji,5,113.14,3-4-0,8,2025-06-22T05:30:21.972Z,False,,,
20160782,2016,7,Miller High Lyfe,8,69.24,2-5-0,12,King Goffery,2,116.38,3-4-0,5,2025-06-22T05:30:21.972Z,False,,,
20160821,2016,8,King Goffery,2,95.6,4-4-0,4,Latavius Maximus,1,77.2,3-5-0,11,2025-06-22T05:30:34.893Z,False,,,
20160859,2016,8,Joey Bosa Shrug Emoji,5,92.32,4-4-0,5,Mon Don't Grief,9,80.9,2-6-0,12,2025-06-22T05:30:34.893Z,False,,,
20160876,2016,8,LCD Stagsystem,7,51.88,4-4-0,6,HYDROPOWER,6,79.7,7-1-0,1,2025-06-22T05:30:34.893Z,False,,,
201608108,2016,8,Cole's Drafted Players,10,61.26,3-5-0,9,Miller High Lyfe,8,102.58,3-5-0,10,2025-06-22T05:30:34.893Z,False,,,
201608113,2016,8,Outback Jakehouse,11,132.64,3-5-0,7,Aiken' for the ThreePeat,3,103.02,6-2-0,2,2025-06-22T05:30:34.893Z,False,,,
201608124,2016,8,theres something about Mathews,12,95.6,6-2-0,3,The PTY's,4,76.9,3-5-0,8,2025-06-22T05:30:34.893Z,False,,,
20160915,2016,9,Latavius Maximus,1,104.36,4-5-0,8,Joey Bosa Shrug Emoji,5,71.36,4-5-0,7,2025-06-22T05:30:47.877Z,False,,,
20160992,2016,9,Mon Don't Grief,9,83.74,2-7-0,12,King Goffery,2,115.52,5-4-0,4,2025-06-22T05:30:47.877Z,False,,,
201609312,2016,9,Aiken' for the ThreePeat,3,110.96,7-2-0,2,theres something about Mathews,12,62.06,6-3-0,3,2025-06-22T05:30:47.877Z,False,,,
201609411,2016,9,The PTY's,4,109.92,3-6-0,9,Outback Jakehouse,11,118.48,4-5-0,6,2025-06-22T05:30:47.877Z,False,,,
201609610,2016,9,HYDROPOWER,6,140.24,8-1-0,1,Cole's Drafted Players,10,91.3,3-6-0,10,2025-06-22T05:30:47.877Z,False,,,
20160987,2016,9,Miller High Lyfe,8,69.78,3-6-0,11,LCD Stagsystem,7,73.9,5-4-0,5,2025-06-22T05:30:47.878Z,False,,,
20161027,2016,10,King Goffery,2,98.62,5-5-0,5,LCD Stagsystem,7,102.54,6-4-0,4,2025-06-22T05:31:00.896Z,False,,,
201610105,2016,10,Cole's Drafted Players,10,106.54,3-7-0,11,Joey Bosa Shrug Emoji,5,111.74,5-5-0,7,2025-06-22T05:31:00.896Z,False,,,
201610111,2016,10,Latavius Maximus,1,51.34,4-6-0,9,Outback Jakehouse,11,118.94,5-5-0,6,2025-06-22T05:31:00.896Z,False,,,
201610129,2016,10,theres something about Mathews,12,86.54,6-4-0,3,Mon Don't Grief,9,102.0,3-7-0,12,2025-06-22T05:31:00.896Z,False,,,
20161036,2016,10,Aiken' for the ThreePeat,3,59.48,7-3-0,2,HYDROPOWER,6,74.38,9-1-0,1,2025-06-22T05:31:00.896Z,False,,,
20161084,2016,10,Miller High Lyfe,8,103.9,4-6-0,8,The PTY's,4,86.8,3-7-0,10,2025-06-22T05:31:00.896Z,False,,,
20161152,2016,11,Joey Bosa Shrug Emoji,5,73.14,5-6-0,7,King Goffery,2,93.0,6-5-0,5,2025-06-22T05:31:13.875Z,False,,,
201611107,2016,11,Cole's Drafted Players,10,66.58,3-8-0,12,LCD Stagsystem,7,75.4,7-4-0,3,2025-06-22T05:31:13.875Z,False,,,
20161191,2016,11,Mon Don't Grief,9,87.8,3-8-0,11,Latavius Maximus,1,97.22,5-6-0,9,2025-06-22T05:31:13.875Z,False,,,
2016111211,2016,11,theres something about Mathews,12,95.9,6-5-0,6,Outback Jakehouse,11,114.84,6-5-0,4,2025-06-22T05:31:13.875Z,False,,,
20161143,2016,11,The PTY's,4,101.3,4-7-0,10,Aiken' for the ThreePeat,3,94.24,7-4-0,2,2025-06-22T05:31:13.875Z,False,,,
20161186,2016,11,Miller High Lyfe,8,98.98,5-6-0,8,HYDROPOWER,6,53.98,9-2-0,1,2025-06-22T05:31:13.875Z,False,,,
20161232,2016,12,Aiken' for the ThreePeat,3,96.6,7-5-0,4,King Goffery,2,131.9,7-5-0,2,2025-06-22T05:31:26.788Z,False,,,
20161245,2016,12,The PTY's,4,99.14,5-7-0,9,Joey Bosa Shrug Emoji,5,65.74,5-7-0,10,2025-06-22T05:31:26.788Z,False,,,
20161217,2016,12,Latavius Maximus,1,82.54,6-6-0,8,LCD Stagsystem,7,81.96,7-5-0,5,2025-06-22T05:31:26.788Z,False,,,
201612910,2016,12,Mon Don't Grief,9,74.6,3-9-0,12,Cole's Drafted Players,10,84.44,4-8-0,11,2025-06-22T05:31:26.789Z,False,,,
201612116,2016,12,Outback Jakehouse,11,110.82,7-5-0,3,HYDROPOWER,6,95.74,9-3-0,1,2025-06-22T05:31:26.789Z,False,,,
201612128,2016,12,theres something about Mathews,12,59.04,6-6-0,6,Miller High Lyfe,8,100.94,6-6-0,7,2025-06-22T05:31:26.789Z,False,,,
201613102,2016,13,Cole's Drafted Players,10,74.98,4-9-0,12,King Goffery,2,105.54,8-5-0,2,2025-06-22T05:31:39.719Z,False,,,
20161375,2016,13,LCD Stagsystem,7,71.84,7-6-0,6,Joey Bosa Shrug Emoji,5,105.84,6-7-0,8,2025-06-22T05:31:39.719Z,False,,,
201613121,2016,13,theres something about Mathews,12,60.76,6-7-0,10,Latavius Maximus,1,101.26,7-6-0,5,2025-06-22T05:31:39.719Z,False,,,
201613119,2016,13,Outback Jakehouse,11,99.86,7-6-0,4,Mon Don't Grief,9,103.42,4-9-0,11,2025-06-22T05:31:39.719Z,False,,,
20161383,2016,13,Miller High Lyfe,8,73.34,6-7-0,9,Aiken' for the ThreePeat,3,84.98,8-5-0,3,2025-06-22T05:31:39.719Z,False,,,
20161364,2016,13,HYDROPOWER,6,75.16,9-4-0,1,The PTY's,4,88.58,6-7-0,7,2025-06-22T05:31:39.719Z,False,,,
20161485,2016,14,Miller High Lyfe,8,60.18,6-7-0,9,Joey Bosa Shrug Emoji,5,70.32,6-7-0,8,2025-06-22T05:31:52.799Z,False,,,
201614124,2016,14,theres something about Mathews,12,104.14,6-7-0,10,The PTY's,4,102.7,6-7-0,7,2025-06-22T05:31:52.799Z,True,consolation_round_1,consolation,Consolation Round 1
