team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,Latavius Maximus,Matt,646819,6,45,3,"Tue, Dec 20, 12:37pm"
6,HYDROPOWER,Alexander,770387,5,26,1,"Sat, Dec 17, 12:49pm"
5,Joey Bosa Shrug Emoji,Benjy,1750812,3,59,1,"Sun, Dec 11, 9:23pm"
3,Aiken' for the ThreePeat,Cameron,1778244,12,27,0,"Fri, Dec 23, 1:52am"
8,Miller High Lyfe,Nick,2028716,11,25,1,"Sat, Dec 24, 9:56am"
4,The PTY's,Craig,2189986,10,48,3,"Sat, Dec 24, 12:08pm"
2,King Goffery,Ryan,2821640,2,19,0,"Thu, Dec 22, 1:15pm"
9,Mon Don't Grief,Kyle,3348683,7,19,0,"Sat, Dec 17, 11:12pm"
7,LCD Stagsystem,Zach,3848212,4,23,1,"Tue, Dec 20, 5:28pm"
11,Outback Jakehouse,Jake,3857345,9,35,0,"Sat, Dec 24, 4:26pm"
10,Cole's Drafted Players,Cole,4164808,1,6,0,"Sun, Dec 18, 9:05am"
12,theres something about Mathews,James,10235777,8,29,0,"Wed, Dec 14, 7:29am"
