home_rank,is_simulated,home_team_id,simulation_type,away_team_id,game_id,away_rank,away_record,week,home_points,season,home_record,away_points,scraped_at,home_team,away_team
1,,9,,1,20190791,8,3-4-0,7,94.16,2019,6-1-0,83.22,2025-06-30T23:12:14.050Z,Avengers Engram,Califournettecation
8,,1,,5,20190815,3,6-2-0,8,82.98,2019,3-5-0,101.94,2025-06-30T23:12:27.266Z,Califournettecation,Jacobs' Ladder
5,,2,,10,201908210,6,4-4-0,8,107.8,2019,5-3-0,67.08,2025-06-30T23:12:27.266Z,Taupe Blougholes,MaHomes Depot
10,,3,,8,20190838,12,0-8-0,8,122.66,2019,3-5-0,78.12,2025-06-30T23:12:27.266Z,Macker Barrel Ol Country Store,Breezin
7,,6,,9,20190869,1,7-1-0,8,70.7,2019,4-4-0,140.86,2025-06-30T23:12:27.266Z,Free Melvy,Avengers Engram
11,,11,,4,201908114,4,5-3-0,8,94.38,2019,2-6-0,110.48,2025-06-30T23:12:27.266Z,Sasquontch,Christian Mingle
2,,12,,7,201908127,9,3-5-0,8,120.68,2019,6-2-0,87.16,2025-06-30T23:12:27.266Z,Fast Times at Ridley High,Zach and the Fucked by JuJu
3,,5,,2,20190952,6,5-4-0,9,111.42,2019,7-2-0,90.94,2025-06-30T23:12:40.397Z,Jacobs' Ladder,Taupe Blougholes
9,,10,,1,201909101,8,4-5-0,9,40.2,2019,4-5-0,78.04,2025-06-30T23:12:40.397Z,MaHomes Depot,Califournettecation
4,,4,,12,201909412,2,7-2-0,9,121.06,2019,5-4-0,126.52,2025-06-30T23:12:40.397Z,Christian Mingle,Fast Times at Ridley High
7,,7,,11,201909711,11,2-7-0,9,103.04,2019,4-5-0,86.16,2025-06-30T23:12:40.397Z,Zach and the Fucked by JuJu,Sasquontch
12,,8,,6,20190986,5,5-4-0,9,71.28,2019,0-9-0,82.16,2025-06-30T23:12:40.397Z,Breezin,Free Melvy
1,,9,,3,20190993,10,4-5-0,9,72.6,2019,7-2-0,89.76,2025-06-30T23:12:40.397Z,Avengers Engram,Macker Barrel Ol Country Store
4,,4,,1,20191041,8,4-6-0,10,91.18,2019,6-4-0,81.22,2025-06-30T23:12:53.586Z,Christian Mingle,Califournettecation
7,,7,,2,20191072,6,6-4-0,10,77.52,2019,4-6-0,85.22,2025-06-30T23:12:53.586Z,Zach and the Fucked by JuJu,Taupe Blougholes
2,,5,,3,20191053,10,4-6-0,10,121.42,2019,8-2-0,97.62,2025-06-30T23:12:53.586Z,Jacobs' Ladder,Macker Barrel Ol Country Store
9,,10,,6,201910106,5,6-4-0,10,98.22,2019,4-6-0,124.96,2025-06-30T23:12:53.586Z,MaHomes Depot,Free Melvy
11,,11,,8,201910118,12,0-10-0,10,92.04,2019,3-7-0,54.08,2025-06-30T23:12:53.586Z,Sasquontch,Breezin
1,,12,,9,201910129,3,7-3-0,10,99.18,2019,8-2-0,85.7,2025-06-30T23:12:53.586Z,Fast Times at Ridley High,Avengers Engram
6,,2,,1,20191121,7,4-7-0,11,100.94,2019,7-4-0,84.64,2025-06-30T23:13:06.710Z,Taupe Blougholes,Califournettecation
5,,6,,3,20191163,10,4-7-0,11,97.2,2019,7-4-0,87.88,2025-06-30T23:13:06.711Z,Free Melvy,Macker Barrel Ol Country Store
8,,10,,5,201911105,2,9-2-0,11,69.5,2019,4-7-0,102.28,2025-06-30T23:13:06.711Z,MaHomes Depot,Jacobs' Ladder
1,,12,,11,2019111211,11,3-8-0,11,63.9,2019,9-2-0,60.14,2025-06-30T23:13:06.711Z,Fast Times at Ridley High,Sasquontch
9,,7,,4,20191174,4,7-4-0,11,49.06,2019,4-7-0,90.14,2025-06-30T23:13:06.711Z,Zach and the Fucked by JuJu,Christian Mingle
3,,9,,8,20191198,12,1-10-0,11,68.34,2019,7-4-0,100.32,2025-06-30T23:13:06.711Z,Avengers Engram,Breezin
7,,1,,3,20191213,10,4-8-0,12,104.82,2019,5-7-0,80.38,2025-06-30T23:13:19.950Z,Califournettecation,Macker Barrel Ol Country Store
6,,6,,2,20191262,4,8-4-0,12,114.66,2019,7-5-0,135.7,2025-06-30T23:13:19.951Z,Free Melvy,Taupe Blougholes
2,,5,,11,201912511,11,3-9-0,12,86.96,2019,10-2-0,65.58,2025-06-30T23:13:19.951Z,Jacobs' Ladder,Sasquontch
