team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,Califournettecation,Matt,646819,3,34,1,"Thu, Dec 19, 10:21am"
6,Free Melvy,Alexander,770387,4,29,1,"Sat, Dec 7, 9:05pm"
5,Jacobs' Ladder,Benjy,1750812,11,47,1,"Wed, Dec 18, 3:35pm"
3,Macker Barrel Ol Country Store,Cameron,1778244,12,39,1,"Fri, Dec 20, 8:44am"
8,Breezin,Nick,2028716,1,16,2,"Tue, Dec 10, 9:41pm"
4,Christian Mingle,Craig,2189986,7,19,0,"Thu, Dec 12, 5:21pm"
10,MaHomes Depot,Benjamin,2806797,2,12,0,"Sun, Dec 15, 5:46am"
2,Taupe Blougholes,Ryan,2821640,5,25,4,"Sat, Dec 21, 11:59am"
9,Avengers Engram,Kyle,3348683,8,26,1,"Tue, Dec 17, 10:36pm"
7,Zach and the Fucked by JuJu,Zach,3848212,9,38,2,"Thu, Dec 19, 12:42pm"
11,Sasquontch,Jake,3857345,6,31,1,"Tue, Dec 17, 8:40am"
12,Fast Times at Ridley High,James,10235777,10,16,0,"Sun, Dec 22, 7:01am"
