game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_playoff,playoff_round,bracket,playoff_round_name
20190775,2019,7,Zach and the Fucked by JuJu,7,59.62,3-4-0,9,Jacobs' Ladder,5,103.52,5-2-0,3,2025-06-30T23:12:14.050Z,False,,,
20190782,2019,7,Breezin,8,62.86,0-7-0,12,Taupe Blougholes,2,91.08,4-3-0,7,2025-06-30T23:12:14.050Z,False,,,
20190791,2019,7,Avengers Engram,9,94.16,6-1-0,1,Califournettecation,1,83.22,3-4-0,8,2025-06-30T23:12:14.050Z,False,,,
20190815,2019,8,Califournettecation,1,82.98,3-5-0,8,Jacobs' Ladder,5,101.94,6-2-0,3,2025-06-30T23:12:27.266Z,False,,,
201908210,2019,8,Taupe Blougholes,2,107.8,5-3-0,5,MaHomes Depot,10,67.08,4-4-0,6,2025-06-30T23:12:27.266Z,False,,,
20190838,2019,8,Macker Barrel Ol Country Store,3,122.66,3-5-0,10,Breezin,8,78.12,0-8-0,12,2025-06-30T23:12:27.266Z,False,,,
20190869,2019,8,Free Melvy,6,70.7,4-4-0,7,Avengers Engram,9,140.86,7-1-0,1,2025-06-30T23:12:27.266Z,False,,,
201908114,2019,8,Sasquontch,11,94.38,2-6-0,11,Christian Mingle,4,110.48,5-3-0,4,2025-06-30T23:12:27.266Z,False,,,
201908127,2019,8,Fast Times at Ridley High,12,120.68,6-2-0,2,Zach and the Fucked by JuJu,7,87.16,3-5-0,9,2025-06-30T23:12:27.266Z,False,,,
20190952,2019,9,Jacobs' Ladder,5,111.42,7-2-0,3,Taupe Blougholes,2,90.94,5-4-0,6,2025-06-30T23:12:40.397Z,False,,,
201909101,2019,9,MaHomes Depot,10,40.2,4-5-0,9,Califournettecation,1,78.04,4-5-0,8,2025-06-30T23:12:40.397Z,False,,,
201909412,2019,9,Christian Mingle,4,121.06,5-4-0,4,Fast Times at Ridley High,12,126.52,7-2-0,2,2025-06-30T23:12:40.397Z,False,,,
201909711,2019,9,Zach and the Fucked by JuJu,7,103.04,4-5-0,7,Sasquontch,11,86.16,2-7-0,11,2025-06-30T23:12:40.397Z,False,,,
20190986,2019,9,Breezin,8,71.28,0-9-0,12,Free Melvy,6,82.16,5-4-0,5,2025-06-30T23:12:40.397Z,False,,,
20190993,2019,9,Avengers Engram,9,72.6,7-2-0,1,Macker Barrel Ol Country Store,3,89.76,4-5-0,10,2025-06-30T23:12:40.397Z,False,,,
20191041,2019,10,Christian Mingle,4,91.18,6-4-0,4,Califournettecation,1,81.22,4-6-0,8,2025-06-30T23:12:53.586Z,False,,,
20191072,2019,10,Zach and the Fucked by JuJu,7,77.52,4-6-0,7,Taupe Blougholes,2,85.22,6-4-0,6,2025-06-30T23:12:53.586Z,False,,,
20191053,2019,10,Jacobs' Ladder,5,121.42,8-2-0,2,Macker Barrel Ol Country Store,3,97.62,4-6-0,10,2025-06-30T23:12:53.586Z,False,,,
201910106,2019,10,MaHomes Depot,10,98.22,4-6-0,9,Free Melvy,6,124.96,6-4-0,5,2025-06-30T23:12:53.586Z,False,,,
201910118,2019,10,Sasquontch,11,92.04,3-7-0,11,Breezin,8,54.08,0-10-0,12,2025-06-30T23:12:53.586Z,False,,,
201910129,2019,10,Fast Times at Ridley High,12,99.18,8-2-0,1,Avengers Engram,9,85.7,7-3-0,3,2025-06-30T23:12:53.586Z,False,,,
20191121,2019,11,Taupe Blougholes,2,100.94,7-4-0,6,Califournettecation,1,84.64,4-7-0,7,2025-06-30T23:13:06.710Z,False,,,
20191163,2019,11,Free Melvy,6,97.2,7-4-0,5,Macker Barrel Ol Country Store,3,87.88,4-7-0,10,2025-06-30T23:13:06.711Z,False,,,
201911105,2019,11,MaHomes Depot,10,69.5,4-7-0,8,Jacobs' Ladder,5,102.28,9-2-0,2,2025-06-30T23:13:06.711Z,False,,,
2019111211,2019,11,Fast Times at Ridley High,12,63.9,9-2-0,1,Sasquontch,11,60.14,3-8-0,11,2025-06-30T23:13:06.711Z,False,,,
20191174,2019,11,Zach and the Fucked by JuJu,7,49.06,4-7-0,9,Christian Mingle,4,90.14,7-4-0,4,2025-06-30T23:13:06.711Z,False,,,
20191198,2019,11,Avengers Engram,9,68.34,7-4-0,3,Breezin,8,100.32,1-10-0,12,2025-06-30T23:13:06.711Z,False,,,
20191213,2019,12,Califournettecation,1,104.82,5-7-0,7,Macker Barrel Ol Country Store,3,80.38,4-8-0,10,2025-06-30T23:13:19.950Z,False,,,
