team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,The Wrath of Quon,Matt,646819,4,23,2,"Sun, Jan 1, 9:00am"
6,Koo D'etat,Alexander,770387,8,36,1,"Sun, Jan 1, 8:20am"
5,The Najee Trois,Benjy,1750812,12,76,1,"Sat, Dec 31, 12:03pm"
3,Lazy Lazard Saloon,Cameron,1778244,5,42,0,"Fri, Dec 16, 8:15am"
8,Bot boy,Nick,2028716,7,25,2,"Sun, Jan 1, 9:01am"
4,Super Lamario Sunshine,Craig,2189986,1,43,0,"Sat, Dec 31, 4:43pm"
2,Chubbinator 2 Judgment Day,Ryan,2821640,10,24,2,"Fri, Dec 30, 6:18pm"
9,Magnum TI,Kyle,3348683,3,20,2,"Sat, Dec 31, 9:23pm"
7,Ja'marroquai,Zach,3848212,9,62,0,"Fri, Dec 30, 6:41pm"
11,JJ the Jet Plane,Jake,3857345,11,45,4,"Thu, Dec 29, 3:18pm"
10,Tom and Terry,Cole,4164808,2,2,3,"Thu, Dec 22, 5:23pm"
12,Mad Mixon,James,10235777,6,37,1,"Wed, Dec 14, 12:53am"
