year,nomination,round,pick,overall_pick,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2020,,1,1,1,2557997,Christian McCaffrey,RB,CAR,7,Swimming with the Charks,Zach,,snake,2025-07-01T16:38:47.669717
2020,,1,2,2,2560968,Saquon Barkley,RB,NYG,4,Big Trouble in Kittle China,Craig,,snake,2025-07-01T16:38:47.669880
2020,,1,3,3,2555224,Ezekiel Elliott,RB,DAL,12,Godwin Of War,James,,snake,2025-07-01T16:38:47.670069
2020,,1,4,4,2556075,Derrick Henry,RB,TEN,10,Kupp Pong,Cole,,snake,2025-07-01T16:38:47.670208
2020,,1,5,5,2557991,Dalvin Cook,RB,MIN,6,HYDROCOOKERS,Alexander,,snake,2025-07-01T16:38:47.670342
2020,,1,6,6,2561021,Nick Chubb,RB,CLE,8,Judge Jeudy,Nick,,snake,2025-07-01T16:38:47.670475
2020,,1,7,7,2564271,Clyde Edwards-Helaire,RB,KC,3,Some Like it Hop,Cameron,,snake,2025-07-01T16:38:47.670614
2020,,1,8,8,2558019,Alvin Kamara,RB,NO,11,Tyrannosaurus Reek,Jake,,snake,2025-07-01T16:38:47.670755
2020,,1,9,9,2557976,Joe Mixon,RB,CIN,9,RushMoore,Kyle,,snake,2025-07-01T16:38:47.670897
2020,,1,10,10,2556370,Michael Thomas,WR,NO,5,Courtland's Trailblazers,Benjy,,snake,2025-07-01T16:38:47.671036
2020,,1,11,11,2562377,Josh Jacobs,RB,LV,1,BDKE,Matt,,snake,2025-07-01T16:38:47.671171
2020,,1,12,12,2562722,Miles Sanders,RB,PHI,2,WILSON,Ryan,,snake,2025-07-01T16:38:47.671342
2020,,2,13,25,2556214,Tyreek Hill,WR,KC,2,WILSON,Ryan,,snake,2025-07-01T16:38:48.480708
2020,,2,14,26,2555230,Kenyan Drake,RB,ARI,1,BDKE,Matt,,snake,2025-07-01T16:38:48.480950
2020,,2,15,27,2558116,Aaron Jones,RB,GB,5,Courtland's Trailblazers,Benjy,,snake,2025-07-01T16:38:48.481171
2020,,2,16,28,2543495,Davante Adams,WR,GB,9,RushMoore,Kyle,,snake,2025-07-01T16:38:48.481391
2020,,2,17,29,2558052,Kenny Golladay,WR,DET,11,Tyrannosaurus Reek,Jake,,snake,2025-07-01T16:38:48.481594
2020,,2,18,30,2540165,DeAndre Hopkins,WR,ARI,3,Some Like it Hop,Cameron,,snake,2025-07-01T16:38:48.481797
2020,,2,19,31,2495454,Julio Jones,WR,ATL,8,Judge Jeudy,Nick,,snake,2025-07-01T16:38:48.481997
2020,,2,20,32,2559169,Austin Ekeler,RB,LAC,6,HYDROCOOKERS,Alexander,,snake,2025-07-01T16:38:48.482183
2020,,2,21,33,2540258,Travis Kelce,TE,KC,10,Kupp Pong,Cole,,snake,2025-07-01T16:38:48.482381
2020,,2,22,34,2558105,Chris Godwin,WR,TB,12,Godwin Of War,James,,snake,2025-07-01T16:38:48.482582
