year,nomination,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2021,1,2565276,Antonio Gibson,RB,WAS,8,Taylor Swift,Nick,49,auction,2025-07-01T16:39:00.067703
2021,2,2540258,Travis Kelce,TE,KC,12,The Kyler Sisters,James,48,auction,2025-07-01T16:39:00.067882
2021,3,2558019,Alvin Kamara,RB,NO,3,Hockensockem Robots,Cameron,66,auction,2025-07-01T16:39:00.068041
2021,4,2562685,DK Metcalf,WR,SEA,6,Hydroslayers,Alexander,34,auction,2025-07-01T16:39:00.068210
2021,5,2555224,Ezekiel Elliott,RB,DAL,10,Tom and Terry,Cole,69,auction,2025-07-01T16:39:00.068352
2021,6,2558116,Aaron Jones,RB,GB,4,I Tonyan,Craig,64,auction,2025-07-01T16:39:00.068503
2021,7,2557991,Dalvin Cook,RB,MIN,2,Dalvin and Hobbs,Ryan,71,auction,2025-07-01T16:39:00.068662
2021,8,2557997,Christian McCaffrey,RB,CAR,5,Chubb Scouts,Benjy,74,auction,2025-07-01T16:39:00.068826
2021,9,2552608,Stefon Diggs,WR,BUF,9,Dak Flashes,Kyle,40,auction,2025-07-01T16:39:00.068971
2021,10,2556214,Tyreek Hill,WR,MIA,11,Tyrannosaurus Reek II,Jake,45,auction,2025-07-01T16:39:00.069144
2021,11,2559169,Austin Ekeler,RB,LAC,1,The Uncanny Eks-Men,Matt,56,auction,2025-07-01T16:39:00.069373
2021,12,2543468,Mike Evans,WR,TB,7,SLamb Dunkin',Zach,21,auction,2025-07-01T16:39:00.069536
2021,13,2564148,Jonathan Taylor,RB,IND,8,Taylor Swift,Nick,59,auction,2025-07-01T16:39:00.069700
2021,14,2543495,Davante Adams,WR,LV,12,The Kyler Sisters,James,54,auction,2025-07-01T16:39:00.069860
2021,15,2560968,Saquon Barkley,RB,NYG,3,Hockensockem Robots,Cameron,63,auction,2025-07-01T16:39:00.070019
2021,16,2562377,Josh Jacobs,RB,LV,6,Hydroslayers,Alexander,41,auction,2025-07-01T16:39:00.070188
2021,17,2558865,Chris Carson,RB,SEA,10,Tom and Terry,Cole,34,auction,2025-07-01T16:39:00.070354
2021,18,2552408,Darren Waller,TE,LV,4,I Tonyan,Craig,40,auction,2025-07-01T16:39:00.070518
2021,19,2556075,Derrick Henry,RB,TEN,2,Dalvin and Hobbs,Ryan,75,auction,2025-07-01T16:39:00.070683
2021,20,2561021,Nick Chubb,RB,CLE,5,Chubb Scouts,Benjy,64,auction,2025-07-01T16:39:00.070849
2021,21,2564271,Clyde Edwards-Helaire,RB,KC,9,Dak Flashes,Kyle,56,auction,2025-07-01T16:39:00.071017
2021,22,2562238,A.J. Brown,WR,PHI,11,Tyrannosaurus Reek II,Jake,37,auction,2025-07-01T16:39:00.071173
2021,23,2564556,Justin Jefferson,WR,MIN,1,The Uncanny Eks-Men,Matt,36,auction,2025-07-01T16:39:00.071348
2021,24,2557976,Joe Mixon,RB,CIN,7,SLamb Dunkin',Zach,47,auction,2025-07-01T16:39:00.071510
2021,25,2558125,Patrick Mahomes,QB,KC,8,Taylor Swift,Nick,41,auction,2025-07-01T16:39:00.071680
2021,26,2562382,Kyler Murray,QB,ARI,12,The Kyler Sisters,James,24,auction,2025-07-01T16:39:00.071829
2021,27,2540165,DeAndre Hopkins,WR,ARI,3,Hockensockem Robots,Cameron,35,auction,2025-07-01T16:39:00.071988
2021,28,2562502,David Montgomery,RB,CHI,6,Hydroslayers,Alexander,40,auction,2025-07-01T16:39:00.072131
2021,29,2562489,Terry McLaurin,WR,WAS,10,Tom and Terry,Cole,31,auction,2025-07-01T16:39:00.072279
2021,30,2560955,Josh Allen,QB,BUF,4,I Tonyan,Craig,18,auction,2025-07-01T16:39:00.072437
2021,31,2495454,Julio Jones,WR,TEN,2,Dalvin and Hobbs,Ryan,10,auction,2025-07-01T16:39:00.072569
2021,32,2560854,Calvin Ridley,WR,ATL,5,Chubb Scouts,Benjy,41,auction,2025-07-01T16:39:00.072733
2021,33,2552487,Amari Cooper,WR,CLE,9,Dak Flashes,Kyle,11,auction,2025-07-01T16:39:00.072889
2021,34,2566448,Najee Harris,RB,PIT,11,Tyrannosaurus Reek II,Jake,60,auction,2025-07-01T16:39:00.073032
2021,35,2543509,Allen Robinson,WR,LA,1,The Uncanny Eks-Men,Matt,18,auction,2025-07-01T16:39:00.073163
2021,36,2561324,Gus Edwards,RB,BAL,7,SLamb Dunkin',Zach,41,auction,2025-07-01T16:39:00.073309
2021,37,2563965,D'Andre Swift,RB,DET,8,Taylor Swift,Nick,37,auction,2025-07-01T16:39:00.073445
2021,38,2540154,Keenan Allen,WR,LAC,12,The Kyler Sisters,James,26,auction,2025-07-01T16:39:00.073577
2021,39,2506363,Aaron Rodgers,QB,GB,3,Hockensockem Robots,Cameron,8,auction,2025-07-01T16:39:00.073714
2021,40,2560957,Mark Andrews,TE,BAL,6,Hydroslayers,Alexander,16,auction,2025-07-01T16:39:00.073857
2021,41,2560757,Lamar Jackson,QB,BAL,10,Tom and Terry,Cole,19,auction,2025-07-01T16:39:00.073993
2021,42,2560813,D.J. Moore,WR,CAR,4,I Tonyan,Craig,17,auction,2025-07-01T16:39:00.074134
2021,43,2558105,Chris Godwin,WR,TB,2,Dalvin and Hobbs,Ryan,10,auction,2025-07-01T16:39:00.074271
2021,44,2565941,Ja'Marr Chase,WR,CIN,5,Chubb Scouts,Benjy,5,auction,2025-07-01T16:39:00.074411
2021,45,2555260,Dak Prescott,QB,DAL,9,Dak Flashes,Kyle,11,auction,2025-07-01T16:39:00.074593
2021,46,2558266,George Kittle,TE,SF,11,Tyrannosaurus Reek II,Jake,33,auction,2025-07-01T16:39:00.074800
2021,47,2562722,Miles Sanders,RB,PHI,1,The Uncanny Eks-Men,Matt,26,auction,2025-07-01T16:39:00.074962
2021,48,2563848,CeeDee Lamb,WR,DAL,7,SLamb Dunkin',Zach,27,auction,2025-07-01T16:39:00.075130
2021,49,2536340,Justin Tucker,K,BAL,8,Taylor Swift,Nick,3,auction,2025-07-01T16:39:00.075304
2021,50,2564223,James Robinson,RB,JAX,12,The Kyler Sisters,James,36,auction,2025-07-01T16:39:00.075481
2021,51,2562378,T.J. Hockenson,TE,DET,3,Hockensockem Robots,Cameron,10,auction,2025-07-01T16:39:00.075657
2021,52,2562574,Darrell Henderson,RB,LA,6,Hydroslayers,Alexander,12,auction,2025-07-01T16:39:00.075814
2021,53,2562674,Diontae Johnson,WR,PIT,10,Tom and Terry,Cole,10,auction,2025-07-01T16:39:00.075977
2021,54,2541785,Adam Thielen,WR,MIN,4,I Tonyan,Craig,12,auction,2025-07-01T16:39:00.076141
2021,55,100002,Baltimore Ravens,,,2,Dalvin and Hobbs,Ryan,1,auction,2025-07-01T16:39:00.076304
2021,56,2564433,Henry Ruggs III,,,5,Chubb Scouts,Benjy,1,auction,2025-07-01T16:39:00.076460
2021,57,2566049,Javonte Williams,RB,DEN,9,Dak Flashes,Kyle,10,auction,2025-07-01T16:39:00.076623
2021,58,2563617,Zack Moss,RB,BUF,11,Tyrannosaurus Reek II,Jake,4,auction,2025-07-01T16:39:00.076790
2021,59,2565830,Kyle Pitts,TE,ATL,1,The Uncanny Eks-Men,Matt,13,auction,2025-07-01T16:39:00.076954
2021,60,2540169,Robert Woods,WR,TEN,7,SLamb Dunkin',Zach,15,auction,2025-07-01T16:39:00.077099
2021,61,2560995,Dallas Goedert,TE,PHI,8,Taylor Swift,Nick,2,auction,2025-07-01T16:39:00.077303
2021,62,2557973,Leonard Fournette,RB,TB,12,The Kyler Sisters,James,3,auction,2025-07-01T16:39:00.077502
2021,63,2558149,JuJu Smith-Schuster,WR,KC,3,Hockensockem Robots,Cameron,2,auction,2025-07-01T16:39:00.077642
2021,64,2565045,Justin Herbert,QB,LAC,6,Hydroslayers,Alexander,7,auction,2025-07-01T16:39:00.077780
2021,65,2557898,Cooper Kupp,WR,LA,10,Tom and Terry,Cole,8,auction,2025-07-01T16:39:00.077916
2021,66,2562270,Myles Gaskin,RB,MIA,4,I Tonyan,Craig,18,auction,2025-07-01T16:39:00.078048
