game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at
20150152,2015,1,Keenan and Dion Memorial Squad,5,103.34,0-1-0,7,MI6 Quest for the Repeat,2,106.72,1-0-0,3,2025-06-22T05:22:45.274Z
201501107,2015,1,Cole's Drafted Players,10,109.22,1-0-0,2,The Walking Dead,7,56.1,0-1-0,12,2025-06-22T05:22:45.274Z
20150191,2015,1,Cooper Scoopers,9,89.84,1-0-0,6,Guardians of the Gostkowski,1,87.66,0-1-0,8,2025-06-22T05:22:45.274Z
2015011112,2015,1,Licence to Hill,11,75.42,0-1-0,10,I Want to Berees,12,93.7,1-0-0,4,2025-06-22T05:22:45.275Z
20150143,2015,1,The NFL All-Underperformers,4,74.54,0-1-0,11,Mange and Julio DBTSY,3,129.44,1-0-0,1,2025-06-22T05:22:45.275Z
20150186,2015,1,Bend it Like Beckham,8,78.92,0-1-0,9,The Iron Bryants,6,93.5,1-0-0,5,2025-06-22T05:22:45.275Z
201502711,2015,2,The Walking Dead,7,76.24,1-1-0,9,Licence to Hill,11,75.78,0-2-0,11,2025-06-22T05:22:58.195Z
20150223,2015,2,MI6 Quest for the Repeat,2,101.84,2-0-0,1,Mange and Julio DBTSY,3,93.6,1-1-0,4,2025-06-22T05:22:58.195Z
201502110,2015,2,Guardians of the Gostkowski,1,118.36,1-1-0,6,Cole's Drafted Players,10,75.1,1-1-0,7,2025-06-22T05:22:58.195Z
201502128,2015,2,I Want to Berees,12,68.6,2-0-0,3,Bend it Like Beckham,8,64.92,0-2-0,12,2025-06-22T05:22:58.195Z
20150269,2015,2,The Iron Bryants,6,88.4,2-0-0,2,Cooper Scoopers,9,60.76,1-1-0,8,2025-06-22T05:22:58.195Z
20150245,2015,2,The NFL All-Underperformers,4,86.84,0-2-0,10,Keenan and Dion Memorial Squad,5,108.76,1-1-0,5,2025-06-22T05:22:58.195Z
201503712,2015,3,The Walking Dead,7,144.76,2-1-0,6,I Want to Berees,12,47.28,2-1-0,8,2025-06-22T05:23:10.814Z
20150326,2015,3,MI6 Quest for the Repeat,2,114.02,2-1-0,4,The Iron Bryants,6,153.7,3-0-0,1,2025-06-22T05:23:10.814Z
20150314,2015,3,Guardians of the Gostkowski,1,138.02,2-1-0,3,The NFL All-Underperformers,4,126,0-3-0,10,2025-06-22T05:23:10.814Z
2015031110,2015,3,Licence to Hill,11,54.66,0-3-0,12,Cole's Drafted Players,10,90.68,2-1-0,7,2025-06-22T05:23:10.814Z
20150393,2015,3,Cooper Scoopers,9,62.64,1-2-0,9,Mange and Julio DBTSY,3,123.28,2-1-0,2,2025-06-22T05:23:10.814Z
20150385,2015,3,Bend it Like Beckham,8,73.2,0-3-0,11,Keenan and Dion Memorial Squad,5,80.98,2-1-0,5,2025-06-22T05:23:10.814Z
201504210,2015,4,MI6 Quest for the Repeat,2,53.62,3-1-0,5,Cole's Drafted Players,10,50.5,2-2-0,7,2025-06-22T05:23:23.985Z
201504912,2015,4,Cooper Scoopers,9,103.64,2-2-0,8,I Want to Berees,12,55.84,2-2-0,9,2025-06-22T05:23:23.985Z
20150457,2015,4,Keenan and Dion Memorial Squad,5,77.84,2-2-0,6,The Walking Dead,7,106.52,3-1-0,4,2025-06-22T05:23:23.985Z
201504111,2015,4,Licence to Hill,11,92.78,0-4-0,11,Guardians of the Gostkowski,1,104.56,3-1-0,1,2025-06-22T05:23:23.985Z
20150446,2015,4,The NFL All-Underperformers,4,69.88,1-3-0,10,The Iron Bryants,6,66.16,3-1-0,3,2025-06-22T05:23:23.985Z
20150438,2015,4,Mange and Julio DBTSY,3,79.96,3-1-0,2,Bend it Like Beckham,8,63.24,0-4-0,12,2025-06-22T05:23:23.985Z
201505103,2015,5,Cole's Drafted Players,10,73.48,2-3-0,8,Mange and Julio DBTSY,3,99.26,4-1-0,2,2025-06-22T05:23:36.816Z
20150559,2015,5,Keenan and Dion Memorial Squad,5,76.34,2-3-0,7,Cooper Scoopers,9,92.52,3-2-0,6,2025-06-22T05:23:36.816Z
201505112,2015,5,Licence to Hill,11,112.64,1-4-0,11,MI6 Quest for the Repeat,2,64.9,3-2-0,5,2025-06-22T05:23:36.816Z
201505126,2015,5,I Want to Berees,12,79.3,2-3-0,9,The Iron Bryants,6,97.9,4-1-0,3,2025-06-22T05:23:36.816Z
20150581,2015,5,Bend it Like Beckham,8,105.26,0-5-0,12,Guardians of the Gostkowski,1,119.94,4-1-0,1,2025-06-22T05:23:36.816Z
20150547,2015,5,The NFL All-Underperformers,4,76.12,1-4-0,10,The Walking Dead,7,92.94,4-1-0,4,2025-06-22T05:23:36.816Z
201506104,2015,6,Cole's Drafted Players,10,110.4,3-3-0,7,The NFL All-Underperformers,4,86.46,1-5-0,10,2025-06-22T05:23:49.926Z
201506511,2015,6,Keenan and Dion Memorial Squad,5,103.42,3-3-0,5,Licence to Hill,11,74.26,1-5-0,11,2025-06-22T05:23:49.926Z
20150612,2015,6,Guardians of the Gostkowski,1,126,5-1-0,1,MI6 Quest for the Repeat,2,79.88,3-3-0,6,2025-06-22T05:23:49.926Z
20150698,2015,6,Cooper Scoopers,9,67.8,3-3-0,8,Bend it Like Beckham,8,96.2,1-5-0,12,2025-06-22T05:23:49.926Z
20150667,2015,6,The Iron Bryants,6,66.26,4-2-0,4,The Walking Dead,7,111.9,5-1-0,3,2025-06-22T05:23:49.926Z
201506312,2015,6,Mange and Julio DBTSY,3,101.42,5-1-0,2,I Want to Berees,12,94.78,2-4-0,9,2025-06-22T05:23:49.926Z
20150779,2015,7,The Walking Dead,7,125.58,6-1-0,2,Cooper Scoopers,9,107.86,3-4-0,8,2025-06-22T05:24:03.073Z
20150728,2015,7,MI6 Quest for the Repeat,2,90.5,4-3-0,6,Bend it Like Beckham,8,42.24,1-6-0,12,2025-06-22T05:24:03.073Z
2015071210,2015,7,I Want to Berees,12,50.2,2-5-0,10,Cole's Drafted Players,10,67.86,4-3-0,7,2025-06-22T05:24:03.073Z
20150761,2015,7,The Iron Bryants,6,73.38,4-3-0,5,Guardians of the Gostkowski,1,108.8,6-1-0,1,2025-06-22T05:24:03.073Z
