team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,Guardians of the Gostkowski,Matt,646819,12,28,2,"Sun, Dec 27, 2:32am"
6,The Iron Bryants,Alexander,770387,10,30,3,"Sat, Dec 26, 9:08pm"
5,Keenan and Dion Memorial Squad,Benjy,1750812,8,63,1,"Sun, Dec 27, 9:38am"
3,Mange and Julio DBTSY,Cameron,1778244,6,31,0,"Tue, Dec 29, 11:52am"
8,Bend it Like Beckham,Nick,2028716,9,18,1,"Thu, Dec 24, 9:24am"
4,The NFL All-Underperformers,Craig,2189986,7,32,1,"Wed, Dec 23, 9:56am"
2,MI6 Quest for the Repeat,Ryan,2821640,4,17,0,"Wed, Dec 9, 4:17pm"
9,Cooper Scoopers,Kyle,3348683,3,33,1,"Fri, Dec 25, 8:41pm"
7,The Walking Dead,Zach,3848212,5,14,0,"Thu, Dec 10, 1:50pm"
11,Licence to Hill,Jake,3857345,11,33,1,"Wed, Dec 23, 12:19am"
10,Cole's Drafted Players,Cole,4164808,2,4,0,"Thu, Nov 26, 9:08am"
12,I Want to Berees,JACOB,5146313,1,13,0,"Wed, Dec 23, 5:57pm"
