team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,The Uncanny Eks-Men,Matt,646819,4,22,0,"Sat, Jan 1, 9:29am"
6,Hydroslayers,Alexander,770387,9,21,1,"Fri, Dec 31, 9:08am"
5,Chubb Scouts,Benjy,1750812,1,51,1,"Sat, Dec 18, 8:08pm"
3,Hockensockem Robots,Cameron,1778244,12,49,1,"Sun, Jan 2, 12:42pm"
8,Taylor Swift,Nick,2028716,6,13,2,"Thu, Dec 30, 7:20am"
4,I Tonyan,Craig,2189986,2,25,0,"Sun, Dec 12, 8:07am"
2,Dalvin and Hobbs,Ryan,2821640,10,22,1,"Mon, Mar 14, 11:12am"
9,Dak Flashes,Kyle,3348683,7,17,1,"Thu, Dec 23, 9:51am"
7,SLamb Dunkin',Zach,3848212,3,24,1,"Fri, Dec 31, 9:46pm"
11,Tyrannosaurus Reek II,Jake,3857345,8,48,2,"Thu, Dec 23, 1:22pm"
10,Tom and Terry,Cole,4164808,5,5,0,"Sun, Dec 26, 8:47am"
12,The Kyler Sisters,James,10235777,11,46,2,"Wed, Dec 29, 8:34am"
