team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,BDKE,Matt,646819,11,25,1,"Sun, Dec 27, 8:21pm"
6,HYDROCOOKERS,Alexander,770387,6,39,0,"Sat, Dec 26, 9:39pm"
5,Courtland's Trailblazers,Benjy,1750812,1,68,3,"Sat, Dec 12, 9:38pm"
3,Some Like it Hop,Cameron,1778244,8,36,0,"Sat, Dec 26, 10:45pm"
8,Judge Jeudy,Nick,2028716,3,11,1,"Sat, Dec 26, 8:31pm"
4,Big Trouble in Kittle China,Craig,2189986,7,21,0,"Sat, Dec 19, 10:21am"
2,WILSON,Ryan,2821640,10,17,3,"Wed, Dec 23, 1:16am"
9,RushMoore,Kyle,3348683,9,32,2,"Fri, Dec 25, 11:41am"
7,Swimming with the Charks,Zach,3848212,5,46,3,"Fri, Dec 25, 8:01pm"
11,Tyrannosaurus Reek,Jake,3857345,4,31,3,"Fri, Dec 25, 12:05pm"
10,Kupp Pong,Cole,4164808,2,9,1,"Sun, Dec 13, 9:38am"
12,Godwin Of War,James,10235777,12,29,1,"Wed, Dec 23, 1:25am"
