game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_playoff,playoff_round,bracket,playoff_round_name
20200112,2020,1,BDKE,1,142.62,1-0-0,1,WILSON,2,100.98,0-1-0,7,2025-07-01T00:28:04.226Z,False,,,
20200139,2020,1,Some Like it Hop,3,100.92,1-0-0,4,RushMoore,9,98.6,0-1-0,8,2025-07-01T00:28:04.226Z,False,,,
20200156,2020,1,Courtland's Trailblazers,5,56.34,0-1-0,12,HYDROCOOKERS,6,92.24,1-0-0,5,2025-07-01T00:28:04.226Z,False,,,
202001107,2020,1,Kupp Pong,10,87.58,0-1-0,9,Swimming with the Charks,7,113.3,1-0-0,2,2025-07-01T00:28:04.226Z,False,,,
202001811,2020,1,Judge Jeudy,8,85.7,0-1-0,10,Tyrannosaurus Reek,11,104.6,1-0-0,3,2025-07-01T00:28:04.226Z,False,,,
202001412,2020,1,Big Trouble in Kittle China,4,81.2,0-1-0,11,Godwin Of War,12,86.2,1-0-0,6,2025-07-01T00:28:04.226Z,False,,,
20200213,2020,2,BDKE,1,86.3,1-1-0,5,Some Like it Hop,3,90.86,2-0-0,4,2025-07-01T00:24:46.803Z,False,,,
20200226,2020,2,WILSON,2,118.02,0-2-0,9,HYDROCOOKERS,6,121.68,2-0-0,2,2025-07-01T00:24:46.803Z,False,,,
202002105,2020,2,Kupp Pong,10,128.9,0-2-0,10,Courtland's Trailblazers,5,129.4,1-1-0,6,2025-07-01T00:24:46.803Z,False,,,
202002119,2020,2,Tyrannosaurus Reek,11,96.56,2-0-0,3,RushMoore,9,95.84,0-2-0,11,2025-07-01T00:24:46.803Z,False,,,
20200248,2020,2,Big Trouble in Kittle China,4,92.6,0-2-0,12,Judge Jeudy,8,94.78,1-1-0,7,2025-07-01T00:24:46.803Z,False,,,
202002127,2020,2,Godwin Of War,12,82.22,1-1-0,8,Swimming with the Charks,7,121.18,2-0-0,1,2025-07-01T00:24:46.803Z,False,,,
20200332,2020,3,Some Like it Hop,3,108.3,3-0-0,3,WILSON,2,107.8,0-3-0,11,2025-07-01T00:24:59.819Z,False,,,
20200351,2020,3,Courtland's Trailblazers,5,84.68,2-1-0,6,BDKE,1,71.86,1-2-0,7,2025-07-01T00:24:59.819Z,False,,,
202003610,2020,3,HYDROCOOKERS,6,138.7,3-0-0,1,Kupp Pong,10,136.24,0-3-0,10,2025-07-01T00:24:59.819Z,False,,,
