team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,Nuthin but a Green Thang,Matt,646819,4,39,0,"Wed, Dec 20, 10:31pm"
6,Roaring Rivers,Alexander,770387,6,39,0,"Fri, Dec 22, 12:28pm"
5,Ultralight Kareem,Benjy,1750812,8,47,0,"Thu, Dec 21, 1:15pm"
3,Allen the Family,Cameron,1778244,3,29,0,"Wed, Dec 20, 1:49pm"
8,O Beckham Where Art Thou,Nick,2028716,2,9,0,"Fri, Dec 22, 10:13am"
2,Don't Check My Pryors,Ryan,2821640,7,35,1,"Sun, Dec 17, 12:05pm"
9,Diggs It,Kyle,3348683,9,29,1,"Mon, Dec 25, 8:22pm"
7,New Gurley,Zach,3848212,10,29,0,"Wed, Dec 20, 1:00pm"
11,Suicide Squad,Jake,3857345,1,30,0,"Sun, Dec 17, 12:21am"
12,Hooked on a Thielen,James,10235777,5,21,0,"Fri, Dec 15, 10:13pm"
