year,nomination,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2022,107,2539227,Dustin Hopkins,K,LAC,11,JJ the Jet Plane,Jake,,auction,2025-07-01T16:39:32.933374
2022,108,100022,New Orleans Saints,,,12,Mad Mixon,James,,auction,2025-07-01T16:39:32.933511
2022,109,100012,Tennessee Titans,,,1,The Wrath of Quon,Matt,,auction,2025-07-01T16:39:34.209786
2022,110,2562489,Terry McLaurin,WR,WAS,2,Chubbinator 2 Judgment Day,Ryan,14.0,auction,2025-07-01T16:39:34.210134
2022,111,2567685,Dameon Pierce,RB,HOU,3,Lazy Lazard Saloon,Cameron,,auction,2025-07-01T16:39:34.210517
2022,112,100017,Los Angeles Rams,,,4,Super Lamario Sunshine,Craig,,auction,2025-07-01T16:39:34.210667
2022,113,2541556,Brandon McManus,K,DEN,5,The Najee Trois,Benjy,,auction,2025-07-01T16:39:34.210820
2022,114,100011,Green Bay Packers,,,6,Koo D'etat,Alexander,,auction,2025-07-01T16:39:34.211016
2022,115,100028,Los Angeles Chargers,,,7,Ja'marroquai,Zach,,auction,2025-07-01T16:39:34.211311
2022,116,100027,Pittsburgh Steelers,,,8,Bot boy,Nick,,auction,2025-07-01T16:39:34.211627
2022,117,2565836,Rashod Bateman,WR,BAL,9,Magnum TI,Kyle,7.0,auction,2025-07-01T16:39:34.211951
2022,118,100021,New England Patriots,,,10,Tom and Terry,Cole,,auction,2025-07-01T16:39:34.212252
2022,119,100014,Indianapolis Colts,,,11,JJ the Jet Plane,Jake,,auction,2025-07-01T16:39:34.212568
2022,120,2568282,Kenneth Walker III,RB,SEA,12,Mad Mixon,James,,auction,2025-07-01T16:39:34.212826
2022,121,2560781,Christian Kirk,WR,JAX,1,The Wrath of Quon,Matt,5.0,auction,2025-07-01T16:39:35.491538
2022,122,2562699,Tony Pollard,RB,DAL,2,Chubbinator 2 Judgment Day,Ryan,14.0,auction,2025-07-01T16:39:35.491770
2022,123,2562580,Mecole Hardman,WR,NYJ,3,Lazy Lazard Saloon,Cameron,,auction,2025-07-01T16:39:35.491936
2022,124,2506363,Aaron Rodgers,QB,NYJ,4,Super Lamario Sunshine,Craig,10.0,auction,2025-07-01T16:39:35.492103
2022,125,100029,San Francisco 49ers,,,5,The Najee Trois,Benjy,,auction,2025-07-01T16:39:35.492262
2022,126,2560735,Michael Gallup,WR,DAL,6,Koo D'etat,Alexander,2.0,auction,2025-07-01T16:39:35.492427
2022,127,2560907,Marquez Valdes-Scantling,WR,KC,7,Ja'marroquai,Zach,,auction,2025-07-01T16:39:35.492640
2022,128,2543499,Derek Carr,QB,NO,8,Bot boy,Nick,,auction,2025-07-01T16:39:35.492804
2022,129,2566385,Elijah Moore,WR,CLE,9,Magnum TI,Kyle,11.0,auction,2025-07-01T16:39:35.492965
2022,130,2552430,Tyler Lockett,WR,SEA,10,Tom and Terry,Cole,12.0,auction,2025-07-01T16:39:35.493124
2022,131,2562712,Hunter Renfrow,WR,LV,11,JJ the Jet Plane,Jake,8.0,auction,2025-07-01T16:39:35.493284
2022,132,2566409,DeVonta Smith,WR,PHI,12,Mad Mixon,James,6.0,auction,2025-07-01T16:39:35.493450
2022,133,2566343,Rhamondre Stevenson,RB,NE,1,The Wrath of Quon,Matt,,auction,2025-07-01T16:39:36.807913
2022,134,2552487,Amari Cooper,WR,CLE,2,Chubbinator 2 Judgment Day,Ryan,11.0,auction,2025-07-01T16:39:36.808093
2022,135,2567538,Montrell Washington,WR,DEN,3,Lazy Lazard Saloon,Cameron,,auction,2025-07-01T16:39:36.808292
2022,136,2564970,Chase Claypool,WR,CHI,4,Super Lamario Sunshine,Craig,6.0,auction,2025-07-01T16:39:36.808450
2022,137,2550512,Damien Williams,,,5,The Najee Trois,Benjy,,auction,2025-07-01T16:39:36.808606
2022,138,2495454,Julio Jones,WR,TB,6,Koo D'etat,Alexander,,auction,2025-07-01T16:39:36.808757
2022,139,2568321,Jahan Dotson,WR,WAS,7,Ja'marroquai,Zach,,auction,2025-07-01T16:39:36.808907
2022,140,2567808,Isiah Pacheco,RB,KC,8,Bot boy,Nick,,auction,2025-07-01T16:39:36.809058
2022,141,2567973,Chris Olave,WR,NO,9,Magnum TI,Kyle,,auction,2025-07-01T16:39:36.809206
2022,142,79860,Matthew Stafford,QB,LA,10,Tom and Terry,Cole,10.0,auction,2025-07-01T16:39:36.809360
2022,143,2568159,George Pickens,WR,PIT,11,JJ the Jet Plane,Jake,,auction,2025-07-01T16:39:36.809509
2022,144,2552469,Melvin Gordon,RB,KC,12,Mad Mixon,James,11.0,auction,2025-07-01T16:39:36.809668
2022,145,2558129,Isaiah McKenzie,WR,IND,1,The Wrath of Quon,Matt,,auction,2025-07-01T16:39:38.179772
2022,146,2560993,Daniel Carlson,K,LV,2,Chubbinator 2 Judgment Day,Ryan,,auction,2025-07-01T16:39:38.180028
2022,147,2557848,Corey Davis,WR,NYJ,3,Lazy Lazard Saloon,Cameron,,auction,2025-07-01T16:39:38.180244
2022,148,2555466,Tyler Boyd,WR,CIN,4,Super Lamario Sunshine,Craig,,auction,2025-07-01T16:39:38.180457
2022,149,2567232,Tyler Allgeier,RB,ATL,5,The Najee Trois,Benjy,,auction,2025-07-01T16:39:38.180670
2022,150,2540158,Zach Ertz,TE,ARI,6,Koo D'etat,Alexander,5.0,auction,2025-07-01T16:39:38.180895
2022,151,2567637,Christian Watson,WR,GB,7,Ja'marroquai,Zach,,auction,2025-07-01T16:39:38.181103
2022,152,2558052,Kenny Golladay,WR,NYG,8,Bot boy,Nick,,auction,2025-07-01T16:39:38.181323
2022,153,2562574,Darrell Henderson,,,9,Magnum TI,Kyle,6.0,auction,2025-07-01T16:39:38.181526
