game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_playoff,playoff_round,bracket,playoff_round_name
201301811,2013,1,Marshall Law,8,97.54,0-1-0,7,The Green Machine,11,112.72,1-0-0,4,2025-06-22T05:10:13.298Z,False,,,
20130124,2013,1,Charles in Charge,2,119.88,1-0-0,3,TA-VON-ME,4,90.86,0-1-0,9,2025-06-22T05:10:13.298Z,False,,,
201301101,2013,1,Sproling in It,10,93.58,0-1-0,8,Colin The Shots,1,148.08,1-0-0,1,2025-06-22T05:10:13.298Z,False,,,
20130167,2013,1,MONDAY Night MURDERERS,6,73.76,0-1-0,11,Bearing Down,7,103.82,1-0-0,5,2025-06-22T05:10:13.298Z,False,,,
201301123,2013,1,Jacob's Super Stars,12,123.62,1-0-0,2,Vincent's Brownies,3,81.9,0-1-0,10,2025-06-22T05:10:13.298Z,False,,,
20130159,2013,1,For Whom Le'Veon Bell Tolls,5,101.48,1-0-0,6,Newton's Own,9,68.5,0-1-0,12,2025-06-22T05:10:13.298Z,False,,,
20130278,2013,2,Bearing Down,7,107.84,1-1-0,5,Marshall Law,8,128.42,1-1-0,4,2025-06-22T05:10:26.667Z,False,,,
201302121,2013,2,Jacob's Super Stars,12,92.0,2-0-0,2,Colin The Shots,1,78.28,1-1-0,7,2025-06-22T05:10:26.667Z,False,,,
20130243,2013,2,TA-VON-ME,4,161.46,1-1-0,6,Vincent's Brownies,3,96.08,0-2-0,11,2025-06-22T05:10:26.667Z,False,,,
201302610,2013,2,MONDAY Night MURDERERS,6,101.6,1-1-0,8,Sproling in It,10,94.58,0-2-0,10,2025-06-22T05:10:26.667Z,False,,,
20130252,2013,2,For Whom Le'Veon Bell Tolls,5,73.12,1-1-0,9,Charles in Charge,2,100.58,2-0-0,1,2025-06-22T05:10:26.667Z,False,,,
201302119,2013,2,The Green Machine,11,67.04,2-0-0,3,Newton's Own,9,59.96,0-2-0,12,2025-06-22T05:10:26.667Z,False,,,
201303311,2013,3,Vincent's Brownies,3,63.0,0-3-0,11,The Green Machine,11,84.74,3-0-0,2,2025-06-22T05:10:39.766Z,False,,,
201303412,2013,3,TA-VON-ME,4,110.44,2-1-0,3,Jacob's Super Stars,12,57.46,2-1-0,6,2025-06-22T05:10:39.766Z,False,,,
20130368,2013,3,MONDAY Night MURDERERS,6,72.04,1-2-0,9,Marshall Law,8,89.06,2-1-0,4,2025-06-22T05:10:39.766Z,False,,,
20130351,2013,3,For Whom Le'Veon Bell Tolls,5,84.4,2-1-0,7,Colin The Shots,1,78.6,1-2-0,8,2025-06-22T05:10:39.766Z,False,,,
20130379,2013,3,Bearing Down,7,122.16,2-1-0,5,Newton's Own,9,91.02,0-3-0,12,2025-06-22T05:10:39.766Z,False,,,
201303102,2013,3,Sproling in It,10,76.08,0-3-0,10,Charles in Charge,2,93.16,3-0-0,1,2025-06-22T05:10:39.766Z,False,,,
201304107,2013,4,Sproling in It,10,100.72,1-3-0,10,Bearing Down,7,89.68,2-2-0,6,2025-06-22T05:10:52.767Z,False,,,
201304211,2013,4,Charles in Charge,2,111.78,4-0-0,1,The Green Machine,11,67.74,3-1-0,4,2025-06-22T05:10:52.767Z,False,,,
201304512,2013,4,For Whom Le'Veon Bell Tolls,5,107.88,3-1-0,3,Jacob's Super Stars,12,101.64,2-2-0,7,2025-06-22T05:10:52.767Z,False,,,
20130438,2013,4,Vincent's Brownies,3,117.02,1-3-0,11,Marshall Law,8,109.86,2-2-0,5,2025-06-22T05:10:52.767Z,False,,,
20130441,2013,4,TA-VON-ME,4,128.74,3-1-0,2,Colin The Shots,1,91.58,1-3-0,9,2025-06-22T05:10:52.767Z,False,,,
20130496,2013,4,Newton's Own,9,79.58,0-4-0,12,MONDAY Night MURDERERS,6,94.88,2-2-0,8,2025-06-22T05:10:52.767Z,False,,,
2013051211,2013,5,Jacob's Super Stars,12,74.96,2-3-0,5,The Green Machine,11,86.28,4-1-0,4,2025-06-22T05:11:05.954Z,False,,,
20130591,2013,5,Newton's Own,9,57.92,0-5-0,12,Colin The Shots,1,77.72,2-3-0,9,2025-06-22T05:11:05.954Z,False,,,
20130564,2013,5,MONDAY Night MURDERERS,6,99.48,2-3-0,10,TA-VON-ME,4,112.76,4-1-0,2,2025-06-22T05:11:05.954Z,False,,,
20130557,2013,5,For Whom Le'Veon Bell Tolls,5,117.88,4-1-0,3,Bearing Down,7,73.26,2-3-0,7,2025-06-22T05:11:05.954Z,False,,,
20130582,2013,5,Marshall Law,8,93.04,2-3-0,6,Charles in Charge,2,124.36,5-0-0,1,2025-06-22T05:11:05.954Z,False,,,
