team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,Colin The Shots,Matt,646819,8,32,2,"Fri, Dec 20, 11:48am"
6,MONDAY Night MURDERERS,Alexander,770387,4,38,1,"Sun, Dec 15, 2:25am"
10,Sproling in It,Andrew,1573498,1,7,0,"Sat, Dec 14, 9:45am"
5,For Whom Le'Veon Bell Tolls,Benjy,1750812,9,67,0,"Thu, Dec 19, 7:54pm"
3,Vincent's Brownies,Cameron,1778244,3,36,2,"Tue, Dec 3, 1:45am"
8,Marshall Law,Nick,2028716,7,18,1,"Wed, Dec 18, 12:06pm"
4,TA-VON-ME,Craig,2189986,11,34,2,"Wed, Dec 18, 10:26pm"
2,Charles in Charge,Ryan,2821640,5,33,1,"Wed, Dec 11, 8:24pm"
9,Newton's Own,Kyle,3348683,12,28,0,"Fri, Dec 20, 1:01am"
7,Bearing Down,Zach,3848212,10,28,1,"Wed, Dec 18, 11:42am"
11,The Green Machine,Jake,3857345,6,23,0,"Sun, Dec 22, 9:57am"
12,Jacob's Super Stars,JACOB,5146313,2,13,0,"Sat, Dec 21, 4:29am"
