year,nomination,round,pick,overall_pick,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2018,,1,1,1,2552475,Todd Gurley,RB,LA,4,Watson on Sunshine,Craig,,snake,2025-07-01T16:37:39.539225
2018,,1,2,2,2555224,Ezekiel Elliott,RB,DAL,2,ZekeZone,Ryan,,snake,2025-07-01T16:37:39.539383
2018,,1,3,3,2553435,David Johnson,RB,ARI,1,Johnson and Johnson,Matt,,snake,2025-07-01T16:37:39.539526
2018,,1,4,4,2540175,Le'Veon Bell,RB,PIT,7,The Great Gronksby,Zach,,snake,2025-07-01T16:37:39.539662
2018,,1,5,5,2508061,Antonio Brown,WR,PIT,12,No League for Old Men,James,,snake,2025-07-01T16:37:39.539799
2018,,1,6,6,2560968,Saquon Barkley,RB,NYG,10,Risk It For The Trubiscuit,Benjamin,,snake,2025-07-01T16:37:39.539926
2018,,1,7,7,2552469,Melvin Gordon,RB,LAC,11,BreesCassidyandtheStefonDiggs,Jake,,snake,2025-07-01T16:37:39.540046
2018,,1,8,8,2558019,Alvin Kamara,RB,NO,5,Kamara Obscura,Benjy,,snake,2025-07-01T16:37:39.540180
2018,,1,9,9,2495454,Julio Jones,WR,ATL,8,Pop Lockett Drop It,Nick,,snake,2025-07-01T16:37:39.540314
2018,,1,10,10,2557973,Leonard Fournette,RB,JAX,9,Mahomes Room,Kyle,,snake,2025-07-01T16:37:39.540445
2018,,1,11,11,2557917,Kareem Hunt,,,3,Capn' Geno's,Cameron,,snake,2025-07-01T16:37:39.540578
2018,,1,12,12,2540165,DeAndre Hopkins,WR,HOU,6,Roaring Rivers of Freedom,Alexander,,snake,2025-07-01T16:37:39.540710
2018,,2,13,25,2543496,Odell Beckham,WR,NYG,6,Roaring Rivers of Freedom,Alexander,,snake,2025-07-01T16:37:40.325903
2018,,2,14,26,2557997,Christian McCaffrey,RB,CAR,3,Capn' Geno's,Cameron,,snake,2025-07-01T16:37:40.326052
2018,,2,15,27,2556370,Michael Thomas,WR,NO,9,Mahomes Room,Kyle,,snake,2025-07-01T16:37:40.326219
2018,,2,16,28,2557991,Dalvin Cook,RB,MIN,8,Pop Lockett Drop It,Nick,,snake,2025-07-01T16:37:40.326468
2018,,2,17,29,2543495,Davante Adams,WR,GB,5,Kamara Obscura,Benjy,,snake,2025-07-01T16:37:40.326694
2018,,2,18,30,2557976,Joe Mixon,RB,CIN,11,BreesCassidyandtheStefonDiggs,Jake,,snake,2025-07-01T16:37:40.326907
2018,,2,19,31,2543583,Devonta Freeman,RB,ATL,10,Risk It For The Trubiscuit,Benjamin,,snake,2025-07-01T16:37:40.327119
2018,,2,20,32,2495450,A.J. Green,WR,CIN,12,No League for Old Men,James,,snake,2025-07-01T16:37:40.327330
2018,,2,21,33,2555418,Jordan Howard,RB,CHI,7,The Great Gronksby,Zach,,snake,2025-07-01T16:37:40.327452
2018,,2,22,34,2540154,Keenan Allen,WR,LAC,1,Johnson and Johnson,Matt,,snake,2025-07-01T16:37:40.327578
2018,,2,23,35,2543468,Mike Evans,WR,TB,2,ZekeZone,Ryan,,snake,2025-07-01T16:37:40.327759
2018,,2,24,36,2540258,Travis Kelce,TE,KC,4,Watson on Sunshine,Craig,,snake,2025-07-01T16:37:40.327953
2018,,3,25,49,2556075,Derrick Henry,RB,TEN,4,Watson on Sunshine,Craig,,snake,2025-07-01T16:37:41.116618
2018,,3,26,50,2552582,Jay Ajayi,RB,PHI,2,ZekeZone,Ryan,,snake,2025-07-01T16:37:41.116804
2018,,3,27,51,2556214,Tyreek Hill,WR,KC,1,Johnson and Johnson,Matt,,snake,2025-07-01T16:37:41.116965
2018,,3,28,52,497240,Rob Gronkowski,TE,NE,7,The Great Gronksby,Zach,,snake,2025-07-01T16:37:41.117099
2018,,3,29,53,79607,LeSean McCoy,RB,BUF,12,No League for Old Men,James,,snake,2025-07-01T16:37:41.117230
2018,,3,30,54,2532865,T.Y. Hilton,WR,IND,10,Risk It For The Trubiscuit,Benjamin,,snake,2025-07-01T16:37:41.117357
2018,,3,31,55,2530747,Doug Baldwin,WR,SEA,11,BreesCassidyandtheStefonDiggs,Jake,,snake,2025-07-01T16:37:41.117489
2018,,3,32,56,2541785,Adam Thielen,WR,MIN,5,Kamara Obscura,Benjy,,snake,2025-07-01T16:37:41.117618
2018,,3,33,57,2540158,Zach Ertz,TE,PHI,8,Pop Lockett Drop It,Nick,,snake,2025-07-01T16:37:41.117734
2018,,3,34,58,2552487,Amari Cooper,WR,DAL,9,Mahomes Room,Kyle,,snake,2025-07-01T16:37:41.117862
2018,,3,35,59,2530515,Chris Hogan,WR,NE,3,Capn' Geno's,Cameron,,snake,2025-07-01T16:37:41.117990
2018,,3,36,60,2533034,Lamar Miller,RB,HOU,6,Roaring Rivers of Freedom,Alexander,,snake,2025-07-01T16:37:41.118121
